Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000			
0.6661	0.0078176	0.012517	-0.50812
1.332	0.046247	0.057233	-0.46341
1.998	0.079282	0.10167	-0.41897
2.664	0.11491	0.14659	-0.37404
3.331	0.15092	0.19077	-0.32987
3.997	0.19102	0.23547	-0.28517
4.663	0.23218	0.28010	-0.24054
5.329	0.27498	0.32471	-0.19592
5.995	0.32298	0.36914	-0.15149
6.661	0.37272	0.41391	-0.10672
7.327	0.42370	0.45836	-0.062282
7.993	0.47713	0.50309	-0.017550
8.660	0.53557	0.54758	0.026946
9.326	0.59999	0.59212	0.071481
9.992	0.66565	0.63679	0.11616
10.66	0.73241	0.68125	0.16061
11.32	0.80761	0.72594	0.20530
11.99	0.88469	0.77045	0.24981
12.66	0.96368	0.81494	0.29431
13.32	1.0440	0.85954	0.33890
13.99	1.1270	0.90421	0.38357
14.65	1.2149	0.94896	0.42832
15.32	1.2989	0.99343	0.47279
15.99	1.3821	1.0380	0.51734
16.65	1.4634	1.0826	0.56192
17.32	1.5473	1.1271	0.60646
17.99	1.6345	1.1718	0.65116
18.65	1.7225	1.2163	0.69565
19.32	1.8060	1.2608	0.74017
19.98	1.8862	1.3055	0.78487
20.65	1.9669	1.3500	0.82939
21.32	2.0389	1.3946	0.87395
21.98	2.1189	1.4393	0.91870
22.65	2.1949	1.4839	0.96329
23.31	2.2703	1.5284	1.0078
23.98	2.3473	1.5730	1.0523
24.65	2.4205	1.6175	1.0969
25.31	2.4912	1.6622	1.1416
25.98	2.5282	1.7067	1.1860
26.64	2.5905	1.7513	1.2307
27.31	2.6566	1.7959	1.2752
27.98	2.7228	1.8404	1.3197
28.64	2.7858	1.8851	1.3645
29.31	2.8444	1.9295	1.4089
29.98	2.9018	1.9743	1.4536
30.64	2.9499	2.0188	1.4981
31.31	3.0054	2.0634	1.5428
31.97	3.0538	2.1080	1.5873
32.64	3.1033	2.1526	1.6320
33.31	3.1102	2.1971	1.6764
33.97	3.1448	2.2416	1.7210
34.64	3.1801	2.2862	1.7656
