Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000			
0.6764	0.017166	0.010531	-0.66292
1.353	0.022828	0.055960	-0.61749
2.029	0.031901	0.10118	-0.57227
2.706	0.043874	0.14655	-0.52690
3.382	0.056350	0.19177	-0.48167
4.058	0.070435	0.23701	-0.43644
4.735	0.087768	0.28221	-0.39124
5.411	0.11109	0.32751	-0.34593
6.087	0.13986	0.37294	-0.30050
6.764	0.17730	0.41802	-0.25542
7.440	0.22218	0.46341	-0.21004
8.117	0.27206	0.50864	-0.16481
8.793	0.32957	0.55399	-0.11945
9.469	0.38986	0.59908	-0.074370
10.15	0.45560	0.64433	-0.029119
10.82	0.52556	0.68973	0.016285
11.50	0.60099	0.73499	0.061546
12.17	0.67624	0.78030	0.10685
12.85	0.75109	0.82543	0.15198
13.53	0.82991	0.87071	0.19726
14.20	0.90749	0.91614	0.24269
14.88	0.98553	0.96127	0.28783
15.56	1.0626	1.0067	0.33325
16.23	1.1393	1.0519	0.37843
16.91	1.2152	1.0972	0.42378
17.59	1.2892	1.1424	0.46900
18.26	1.3633	1.1877	0.51425
18.94	1.4361	1.2329	0.55942
19.62	1.5069	1.2782	0.60477
20.29	1.5775	1.3235	0.65004
20.97	1.6479	1.3688	0.69539
21.64	1.7183	1.4140	0.74058
22.32	1.7896	1.4593	0.78588
23.00	1.8565	1.5046	0.83116
23.67	1.9233	1.5499	0.87647
24.35	1.9904	1.5951	0.92169
25.03	2.0582	1.6404	0.96698
25.70	2.1209	1.6856	1.0121
26.38	2.1851	1.7310	1.0575
27.06	2.2481	1.7761	1.1027
27.73	2.3116	1.8216	1.1481
28.41	2.3723	1.8666	1.1932
29.08	2.4310	1.9120	1.2385
29.76	2.4896	1.9572	1.2838
30.44	2.5500	2.0025	1.3290
31.11	2.6060	2.0479	1.3744
31.79	2.6644	2.0932	1.4197
32.47	2.7192	2.1383	1.4649
33.14	2.7734	2.1835	1.5101
33.82	2.8259	2.2289	1.5555
34.50	2.8773	2.2742	1.6008
35.17	2.9290	2.3193	1.6458
35.85	2.9789	2.3646	1.6911
36.52	3.0286	2.4099	1.7364
37.20	3.0782	2.4551	1.7817
37.88	3.1243	2.5005	1.8270
38.55	3.1702	2.5458	1.8723
39.23	3.2167	2.5909	1.9175
39.91	3.2616	2.6362	1.9627
40.58	3.3055	2.6815	2.0080
41.26	3.3481	2.7268	2.0534
41.94	3.3904	2.7720	2.0986
42.61	3.4355	2.8175	2.1440
43.29	3.4752	2.8625	2.1891
43.96	3.5060	2.9079	2.2345
44.64	3.5385	2.9532	2.2797
45.32	3.5711	2.9984	2.3249
45.99	3.6011	3.0436	2.3702
46.67	3.6307	3.0890	2.4156
47.35	3.6595	3.1342	2.4607
48.02	3.6872	3.1795	2.5060
48.70	3.7134	3.2248	2.5513
49.38	3.7394	3.2701	2.5967
50.05	3.7606	3.3154	2.6419
50.73	3.7830	3.3606	2.6872
51.40	3.8037	3.4058	2.7324
52.08	3.8240	3.4511	2.7776
52.76	3.8410	3.4963	2.8228
53.43	3.8531	3.5418	2.8683
54.11	3.8646	3.5869	2.9135
54.79	3.8833	3.6322	2.9587
55.46	3.8951	3.6774	3.0039
56.14	3.9053	3.7227	3.0493
56.82	3.9206	3.7680	3.0946
57.49	3.9357	3.8132	3.1398
58.17	3.9505	3.8586	3.1851
58.85	3.9571	3.9038	3.2304
59.52	3.9620	3.9492	3.2757
60.20	3.9727	3.9944	3.3209
60.87	3.9887	4.0396	3.3662
61.55	4.0012	4.0850	3.4115
62.23	4.0130	4.1301	3.4566
62.90	4.0229	4.1755	3.5020
63.58	4.0366	4.2206	3.5471
64.26	4.0510	4.2660	3.5925
64.93	4.0653	4.3112	3.6377
65.61	4.0795	4.3565	3.6830
66.29	4.0938	4.4018	3.7283
66.96	4.1080	4.4471	3.7737
67.64	4.1226	4.4922	3.8187
68.31	4.1415	4.5375	3.8641
68.99	4.1561	4.5829	3.9095
69.67	4.1707	4.6282	3.9547
70.34	4.1841	4.6733	3.9999
71.02	4.1960	4.7186	4.0451
71.70	4.2095	4.7640	4.0905
72.37	4.2238	4.8092	4.1358
73.05	4.2409	4.8545	4.1811
73.73	4.2579	4.8996	4.2262
74.40	4.2733	4.9449	4.2715
75.08	4.2897	4.9901	4.3167
75.75	4.3061	5.0356	4.3622
76.43	4.3225	5.0808	4.4074
77.11	4.3388	5.1261	4.4527
77.78	4.3547	5.1713	4.4979
78.46	4.3709	5.2166	4.5432
79.14	4.3872	5.2619	4.5885
79.81	4.4001	5.3071	4.6337
80.49	4.4164	5.3524	4.6790
81.17	4.4312	5.3976	4.7241
81.84	4.4491	5.4430	4.7695
82.52	4.4648	5.4881	4.8147
83.19	4.4834	5.5335	4.8601
83.87	4.5007	5.5789	4.9054
84.55	4.5172	5.6240	4.9505
85.22	4.5337	5.6693	4.9958
85.90	4.5495	5.7146	5.0411
86.58	4.5676	5.7598	5.0863
87.25	4.5831	5.8051	5.1317
87.93	4.5969	5.8503	5.1769
88.61	4.6126	5.8955	5.2221
89.28	4.6318	5.9409	5.2675
89.96	4.6485	5.9862	5.3127
90.63	4.6669	6.0314	5.3579
91.31	4.6876	6.0767	5.4032
91.99	4.7079	6.1220	5.4486
92.66	4.7277	6.1672	5.4937
93.34	4.7476	6.2125	5.5391
94.02	4.7676	6.2577	5.5842
94.69	4.7877	6.3030	5.6295
95.37	4.8075	6.3484	5.6749
96.05	4.8266	6.3937	5.7203
96.72	4.8457	6.4389	5.7655
97.40	4.8649	6.4841	5.8106
98.08	4.8814	6.5294	5.8560
98.75	4.9004	6.5746	5.9012
99.43	4.9205	6.6200	5.9466
100.1	4.9402	6.6651	5.9917
100.8	4.9604	6.7105	6.0371
101.5	4.9840	6.7559	6.0824
102.1	5.0043	6.8010	6.1276
102.8	5.0245	6.8463	6.1729
103.5	5.0463	6.8915	6.2181
104.2	5.0692	6.9369	6.2634
