Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000			
0.5496	-0.00052701	0.0043353	-1.2713
1.099	0.0029321	0.041161	-1.2345
1.649	0.0088863	0.077922	-1.1978
2.198	0.014841	0.11472	-1.1610
2.748	0.025405	0.15158	-1.1241
3.298	0.033670	0.18833	-1.0874
3.847	0.041935	0.22511	-1.0506
4.397	0.050200	0.26197	-1.0137
4.947	0.058577	0.29858	-0.97710
5.496	0.068406	0.33535	-0.94033
6.046	0.078275	0.37233	-0.90335
6.595	0.090203	0.40901	-0.86667
7.145	0.10213	0.44570	-0.82998
7.695	0.11406	0.48266	-0.79302
8.244	0.12638	0.51930	-0.75638
8.794	0.14056	0.55619	-0.71949
9.344	0.15514	0.59291	-0.68277
9.893	0.17050	0.62971	-0.64597
10.44	0.18586	0.66643	-0.60925
10.99	0.20121	0.70330	-0.57238
11.54	0.21726	0.74000	-0.53568
12.09	0.23431	0.77699	-0.49869
12.64	0.25190	0.81361	-0.46207
13.19	0.26960	0.85046	-0.42522
13.74	0.29054	0.88723	-0.38845
14.29	0.30916	0.92401	-0.35167
14.84	0.32777	0.96084	-0.31484
15.39	0.34682	0.99758	-0.27810
15.94	0.36598	1.0345	-0.24123
16.49	0.38572	1.0711	-0.20455
17.04	0.40659	1.1078	-0.16785
17.59	0.42746	1.1447	-0.13094
18.14	0.44792	1.1814	-0.094244
18.69	0.46819	1.2183	-0.057399
19.24	0.48861	1.2551	-0.020552
19.79	0.50904	1.2920	0.016302
20.34	0.52946	1.3286	0.052953
20.89	0.54890	1.3653	0.089602
21.44	0.56774	1.4023	0.12658
21.98	0.58985	1.4390	0.16332
22.53	0.61053	1.4759	0.20019
23.08	0.62951	1.5125	0.23682
23.63	0.64991	1.5493	0.27367
24.18	0.67180	1.5860	0.31034
24.73	0.69092	1.6228	0.34714
25.28	0.70550	1.6597	0.38405
25.83	0.72207	1.6965	0.42081
26.38	0.74388	1.7332	0.45754
26.93	0.74496	1.7700	0.49431
27.48	0.76126	1.8067	0.53105
28.03	0.78203	1.8435	0.56785
28.58	0.80665	1.8805	0.60479
29.13	0.82848	1.9172	0.64153
29.68	0.84372	1.9539	0.67824
30.23	0.86341	1.9908	0.71508
30.78	0.88310	2.0276	0.75192
31.33	0.90278	2.0643	0.78858
31.88	0.92384	2.1011	0.82545
32.43	0.94396	2.1380	0.86233
32.98	0.96190	2.1747	0.89905
33.53	0.98097	2.2116	0.93591
34.08	1.0003	2.2482	0.97249
34.63	1.0194	2.2850	1.0094
35.18	1.0381	2.3218	1.0461
35.73	1.0511	2.3586	1.0829
36.27	1.0608	2.3955	1.1198
36.82	1.0714	2.4321	1.1565
37.37	1.0872	2.4689	1.1932
37.92	1.1028	2.5056	1.2300
38.47	1.1182	2.5425	1.2668
39.02	1.1373	2.5792	1.3035
39.57	1.1563	2.6161	1.3405
40.12	1.1754	2.6530	1.3773
40.67	1.1904	2.6897	1.4140
41.22	1.2071	2.7266	1.4510
41.77	1.2258	2.7633	1.4876
42.32	1.2445	2.8001	1.5244
42.87	1.2625	2.8367	1.5611
43.42	1.2776	2.8736	1.5979
43.97	1.2934	2.9103	1.6346
44.52	1.3104	2.9471	1.6714
45.07	1.3282	2.9840	1.7083
45.62	1.3459	3.0208	1.7451
46.17	1.3633	3.0574	1.7817
46.72	1.3790	3.0943	1.8186
47.27	1.3948	3.1312	1.8555
47.82	1.4075	3.1680	1.8923
48.37	1.4236	3.2047	1.9290
48.92	1.4390	3.2414	1.9657
49.47	1.4555	3.2782	2.0025
50.02	1.4722	3.3151	2.0394
50.56	1.4861	3.3519	2.0762
51.11	1.4993	3.3886	2.1130
51.66	1.5125	3.4254	2.1497
52.21	1.5232	3.4621	2.1865
52.76	1.5131	3.4990	2.2233
53.31	1.5254	3.5356	2.2599
53.86	1.5392	3.5724	2.2967
54.41	1.2852	3.6094	2.3337
54.96	1.3066	3.6462	2.3705
55.51	1.3316	3.6829	2.4072
56.06	1.3577	3.7196	2.4439
56.61	1.3821	3.7565	2.4808
57.16	1.4016	3.7933	2.5176
57.71	1.4277	3.8299	2.5542
58.26	1.4497	3.8668	2.5912
58.81	1.4673	3.9035	2.6278
59.36	1.4824	3.9404	2.6648
59.91	1.4965	3.9771	2.7014
60.46	1.5099	4.0139	2.7382
61.01	1.5233	4.0506	2.7750
61.56	1.5349	4.0875	2.8118
62.11	1.5458	4.1243	2.8487
62.66	1.5556	4.1611	2.8854
63.21	1.5605	4.1977	2.9220
63.76	1.5672	4.2346	2.9589
64.31	1.5746	4.2714	2.9957
64.85	1.5801	4.3083	3.0326
65.40	1.5872	4.3451	3.0694
65.95	1.5973	4.3818	3.1061
66.50	1.6074	4.4185	3.1428
67.05	1.6186	4.4553	3.1796
67.60	1.6303	4.4922	3.2165
68.15	1.6421	4.5290	3.2533
68.70	1.6536	4.5656	3.2900
69.25	1.6642	4.6025	3.3268
69.80	1.6749	4.6392	3.3635
70.35	1.6850	4.6761	3.4004
70.90	1.6946	4.7128	3.4371
71.45	1.7018	4.7496	3.4739
72.00	1.7081	4.7865	3.5108
72.55	1.7143	4.8231	3.5474
73.10	1.7205	4.8600	3.5843
73.65	1.7267	4.8967	3.6210
74.20	1.7321	4.9337	3.6580
74.75	1.7362	4.9703	3.6946
75.30	1.7438	5.0072	3.7315
75.85	1.7526	5.0440	3.7683
76.40	1.7613	5.0807	3.8051
76.95	1.7700	5.1174	3.8417
77.50	1.7787	5.1543	3.8786
78.05	1.7870	5.1911	3.9154
78.60	1.7951	5.2278	3.9521
79.15	1.8032	5.2646	3.9889
79.69	1.8113	5.3014	4.0257
80.24	1.8182	5.3382	4.0626
80.79	1.8243	5.3749	4.0992
81.34	1.8299	5.4118	4.1361
81.89	1.8334	5.4485	4.1728
82.44	1.8369	5.4854	4.2097
82.99	1.8405	5.5222	4.2465
83.54	1.8440	5.5589	4.2833
84.09	1.8512	5.5957	4.3200
84.64	1.8586	5.6325	4.3569
85.19	1.8667	5.6691	4.3935
85.74	1.8780	5.7061	4.4304
86.29	1.8852	5.7429	4.4672
86.84	1.8923	5.7797	4.5040
87.39	1.8995	5.8163	4.5406
87.94	1.9083	5.8532	4.5775
88.49	1.9189	5.8900	4.6143
89.04	1.9290	5.9268	4.6511
89.59	1.9385	5.9635	4.6878
90.14	1.9480	6.0002	4.7245
90.69	1.9576	6.0371	4.7614
91.24	1.9663	6.0739	4.7982
91.79	1.9746	6.1107	4.8350
92.34	1.9828	6.1476	4.8719
92.89	1.9910	6.1842	4.9086
93.44	2.0033	6.2210	4.9453
93.98	2.0104	6.2577	4.9820
94.53	2.0175	6.2946	5.0189
95.08	2.0245	6.3314	5.0557
95.63	2.0323	6.3681	5.0924
96.18	2.0401	6.4050	5.1293
96.73	2.0479	6.4416	5.1659
97.28	2.0557	6.4786	5.2029
97.83	2.0635	6.5153	5.2396
98.38	2.0713	6.5521	5.2765
98.93	2.0791	6.5889	5.3132
99.48	2.0883	6.6256	5.3499
100.0	2.0977	6.6625	5.3869
100.6	2.1069	6.6991	5.4234
101.1	2.1162	6.7360	5.4603
101.7	2.1255	6.7728	5.4971
102.2	2.1345	6.8096	5.5339
102.8	2.1426	6.8464	5.5708
103.3	2.1503	6.8832	5.6075
103.9	2.1580	6.9199	5.6442
