Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000			
0.5653	0.0019073	0.0021076	-0.99052
1.131	0.0069366	0.039896	-0.95273
1.696	0.015620	0.077816	-0.91481
2.261	0.024124	0.11559	-0.87704
2.826	0.032628	0.15337	-0.83925
3.392	0.041132	0.19123	-0.80140
3.957	0.049636	0.22906	-0.76356
4.522	0.058324	0.26684	-0.72578
5.087	0.067985	0.30506	-0.68757
5.653	0.077755	0.34246	-0.65017
6.218	0.088820	0.38043	-0.61220
6.783	0.10221	0.41837	-0.57426
7.349	0.11559	0.45611	-0.53652
7.914	0.13033	0.49398	-0.49865
8.479	0.14637	0.53173	-0.46090
9.044	0.16804	0.56970	-0.42293
9.610	0.18829	0.60752	-0.38511
10.17	0.20853	0.64533	-0.34730
10.74	0.23067	0.68308	-0.30955
11.31	0.25459	0.72099	-0.27164
11.87	0.28039	0.75878	-0.23385
12.44	0.30840	0.79655	-0.19608
13.00	0.34060	0.83455	-0.15808
13.57	0.37325	0.87229	-0.12034
14.13	0.41112	0.91007	-0.082556
14.70	0.45009	0.94803	-0.044602
15.26	0.49201	0.98572	-0.0069106
15.83	0.53588	1.0236	0.030985
16.39	0.58495	1.0614	0.068773
16.96	0.63873	1.0992	0.10661
17.52	0.69261	1.1372	0.14456
18.09	0.74649	1.1749	0.18223
18.65	0.80140	1.2128	0.22017
19.22	0.86166	1.2507	0.25805
19.78	0.92284	1.2886	0.29593
20.35	0.98412	1.3262	0.33359
20.92	1.0479	1.3642	0.37155
21.48	1.1115	1.4018	0.40920
22.05	1.1746	1.4398	0.44713
22.61	1.2362	1.4776	0.48495
23.18	1.2941	1.5154	0.52277
23.74	1.3441	1.5533	0.56071
24.31	1.3998	1.5910	0.59835
24.87	1.4533	1.6290	0.63640
25.44	1.4712	1.6667	0.67411
26.00	1.5158	1.7047	0.71203
26.57	1.5745	1.7425	0.74983
27.13	1.6327	1.7803	0.78767
27.70	1.6894	1.8180	0.82541
28.26	1.7434	1.8559	0.86328
28.83	1.7924	1.8938	0.90117
29.39	1.8441	1.9316	0.93897
29.96	1.8957	1.9695	0.97685
30.52	1.9237	2.0073	1.0147
31.09	1.9679	2.0450	1.0524
31.66	2.0146	2.0829	1.0902
32.22	2.0642	2.1207	1.1281
32.79	2.1096	2.1586	1.1660
33.35	2.1525	2.1965	1.2039
33.92	2.1940	2.2342	1.2415
34.48	2.2355	2.2721	1.2795
35.05	2.2762	2.3098	1.3172
35.61	2.3158	2.3478	1.3552
36.18	2.3500	2.3857	1.3931
36.74	2.3868	2.4235	1.4309
37.31	2.4220	2.4612	1.4686
37.87	2.4567	2.4991	1.5065
38.44	2.4860	2.5370	1.5444
39.00	2.5176	2.5748	1.5821
39.57	2.5493	2.6126	1.6200
40.13	2.5786	2.6505	1.6578
40.70	2.6072	2.6883	1.6956
41.27	2.6317	2.7261	1.7335
41.83	2.6594	2.7640	1.7714
42.40	2.6862	2.8017	1.8091
42.96	2.7103	2.8395	1.8469
43.53	2.7105	2.8774	1.8848
44.09	2.7137	2.9154	1.9228
44.66	2.7281	2.9531	1.9604
45.22	2.7494	2.9910	1.9984
45.79	2.7762	3.0287	2.0361
46.35	2.7988	3.0666	2.0739
46.92	2.8213	3.1045	2.1119
47.48	2.8426	3.1423	2.1496
48.05	2.8631	3.1800	2.1874
48.61	2.8816	3.2180	2.2253
49.18	2.8989	3.2557	2.2631
49.74	2.9150	3.2935	2.3009
50.31	2.9285	3.3315	2.3389
50.87	2.8956	3.3694	2.3767
51.44	2.8889	3.4071	2.4144
52.01	2.9048	3.4449	2.4522
52.57	2.9270	3.4828	2.4902
53.14	2.9508	3.5205	2.5279
53.70	2.9741	3.5585	2.5659
54.27	2.9959	3.5962	2.6035
54.83	3.0177	3.6342	2.6415
55.40	3.0351	3.6719	2.6792
55.96	3.0497	3.7098	2.7172
56.53	3.0568	3.7476	2.7549
57.09	3.0725	3.7855	2.7929
57.66	3.0859	3.8233	2.8307
58.22	3.0993	3.8612	2.8685
58.79	3.1051	3.8989	2.9063
59.35	3.1153	3.9367	2.9441
59.92	3.1264	3.9745	2.9819
60.48	3.1378	4.0123	3.0197
61.05	3.1492	4.0503	3.0577
61.62	3.1586	4.0880	3.0954
62.18	3.1681	4.1259	3.1332
62.75	3.1771	4.1638	3.1712
63.31	3.1857	4.2017	3.2090
63.88	3.1961	4.2395	3.2469
64.44	3.2065	4.2772	3.2846
65.01	3.2176	4.3151	3.3224
65.57	3.2287	4.3529	3.3603
66.14	3.2372	4.3908	3.3982
66.70	3.2438	4.4285	3.4359
67.27	3.2474	4.4665	3.4738
67.83	3.2565	4.5043	3.5116
68.40	3.2657	4.5421	3.5495
68.96	3.2748	4.5800	3.5874
69.53	3.2827	4.6177	3.6251
70.09	3.2906	4.6556	3.6629
70.66	3.2991	4.6933	3.7007
71.22	3.3092	4.7312	3.7385
71.79	3.3194	4.7690	3.7764
72.36	3.3296	4.8069	3.8143
72.92	3.3398	4.8448	3.8522
73.49	3.3509	4.8825	3.8899
74.05	3.3620	4.9204	3.9277
74.62	3.3728	4.9582	3.9656
75.18	3.3827	4.9961	4.0034
75.75	3.3927	5.0340	4.0413
76.31	3.3967	5.0718	4.0791
76.88	3.3969	5.1097	4.1170
77.44	3.3972	5.1474	4.1548
78.01	3.4077	5.1852	4.1926
78.57	3.4199	5.2229	4.2303
79.14	3.4322	5.2609	4.2683
79.70	3.4465	5.2987	4.3061
80.27	3.4603	5.3366	4.3440
80.83	3.4728	5.3745	4.3819
81.40	3.4853	5.4122	4.4196
81.97	3.4615	5.4500	4.4574
82.53	3.4516	5.4879	4.4953
83.10	3.4603	5.5258	4.5332
83.66	3.4781	5.5635	4.5708
84.23	3.4912	5.6013	4.6087
84.79	3.5035	5.6393	4.6467
85.36	3.5125	5.6770	4.6844
85.92	3.5258	5.7149	4.7222
86.49	3.5387	5.7527	4.7601
87.05	3.5502	5.7906	4.7980
87.62	3.5616	5.8283	4.8357
88.18	3.5744	5.8663	4.8736
88.75	3.5875	5.9041	4.9115
89.31	3.5994	5.9420	4.9494
89.88	3.6104	5.9797	4.9870
90.44	3.6207	6.0176	5.0249
91.01	3.6320	6.0553	5.0627
91.57	3.6440	6.0933	5.1006
92.14	3.6560	6.1310	5.1383
92.71	3.6677	6.1689	5.1763
93.27	3.6794	6.2069	5.2142
93.84	3.6911	6.2446	5.2520
94.40	3.7021	6.2824	5.2898
94.97	3.7126	6.3202	5.3275
95.53	3.7232	6.3581	5.3655
96.10	3.7341	6.3958	5.4032
96.66	3.7451	6.4337	5.4411
97.23	3.7560	6.4716	5.4789
97.79	3.7661	6.5093	5.5167
98.36	3.7755	6.5473	5.5547
98.92	3.7849	6.5850	5.5923
99.49	3.7932	6.6228	5.6302
100.1	3.7986	6.6608	5.6682
100.6	3.8052	6.6986	5.7059
101.2	3.8159	6.7364	5.7438
101.7	3.8267	6.7741	5.7815
102.3	3.8374	6.8120	5.8193
102.9	3.8478	6.8500	5.8573
103.4	3.8581	6.8877	5.8951
104.0	3.8683	6.9255	5.9329
104.6	3.8769	6.9634	5.9708
105.1	3.8845	7.0013	6.0087
105.7	3.8954	7.0390	6.0463
106.3	3.9044	7.0769	6.0843
106.8	3.9137	7.1148	6.1222
107.4	3.9222	7.1526	6.1600
108.0	3.9297	7.1904	6.1978
108.5	3.9349	7.2282	6.2356
109.1	3.9394	7.2661	6.2735
109.7	3.9478	7.3039	6.3113
110.2	3.9551	7.3419	6.3493
110.8	3.9633	7.3795	6.3869
111.4	3.9682	7.4175	6.4248
111.9	3.9731	7.4552	6.4625
112.5		7.4932	6.5005
