Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000		0.00000	-0.85286
0.8144	0.0093380	0.019683	-0.83318
1.629	0.039019	0.074148	-0.77871
2.443	0.062736	0.12864	-0.72422
3.258	0.087273	0.18304	-0.66982
4.072	0.11458	0.23756	-0.61530
4.886	0.14218	0.29206	-0.56080
5.701	0.17015	0.34666	-0.50620
6.515	0.19936	0.40104	-0.45182
7.330	0.23222	0.45551	-0.39735
8.144	0.26330	0.51020	-0.34266
8.958	0.29732	0.56464	-0.28823
9.773	0.33150	0.61912	-0.23375
10.59	0.36661	0.67355	-0.17932
11.40	0.40442	0.72806	-0.12480
12.22	0.44597	0.78265	-0.070217
13.03	0.48733	0.83711	-0.015756
13.84	0.53121	0.89173	0.038871
14.66	0.57509	0.94622	0.093359
15.47	0.62117	1.0007	0.14780
16.29	0.67022	1.0552	0.20237
17.10	0.72053	1.1097	0.25688
17.92	0.77170	1.1643	0.31144
18.73	0.82240	1.2187	0.36583
19.55	0.80719	1.2732	0.42033
20.36	0.86362	1.3278	0.47494
21.17	0.92004	1.3823	0.52943
21.99	0.96782	1.4367	0.58387
22.80	1.0021	1.4912	0.63837
23.62	1.0605	1.5457	0.69285
24.43	1.1233	1.6003	0.74744
25.25	1.1870	1.6548	0.80195
26.06	1.2419	1.7093	0.85649
26.87	1.3091	1.7637	0.91084
27.69	1.3776	1.8183	0.96546
28.50	1.4434	1.8728	1.0200
29.32	1.4733	1.9274	1.0745
30.13	1.5408	1.9818	1.1289
30.95	1.6108	2.0363	1.1834
31.76	1.6835	2.0908	1.2379
32.58	1.7567	2.1453	1.2924
33.39	1.8288	2.1999	1.3470
34.20	1.9034	2.2544	1.4015
35.02	1.9764	2.3088	1.4559
35.83	2.0468	2.3632	1.5103
36.65	2.1166	2.4179	1.5650
37.46	2.1822	2.4722	1.6193
38.28	2.2386	2.5268	1.6739
39.09	2.2985	2.5812	1.7284
39.91	2.3689	2.6358	1.7830
40.72	2.4352	2.6904	1.8375
41.53	2.4939	2.7448	1.8920
42.35	2.5562	2.7994	1.9466
43.16	2.6183	2.8539	2.0010
43.98	2.6739	2.9083	2.0554
44.79	2.7295	2.9630	2.1101
45.61	2.7843	3.0174	2.1646
46.42	2.8367	3.0719	2.2190
47.23	2.8851	3.1264	2.2736
48.05	2.9347	3.1808	2.3280
48.86	2.9828	3.2355	2.3826
49.68	3.0275	3.2899	2.4370
50.49	3.0729	3.3445	2.4916
51.31	3.1136	3.3990	2.5461
52.12	3.1544	3.4534	2.6005
52.94	3.1997	3.5079	2.6550
53.75	3.2421	3.5625	2.7096
54.56	3.2852	3.6171	2.7642
55.38	3.3267	3.6714	2.8185
56.19	3.3613	3.7259	2.8730
57.01	3.3959	3.7805	2.9277
57.82	3.4061	3.8349	2.9820
58.64	3.4376	3.8894	3.0366
59.45	3.4691	3.9441	3.0912
60.26	3.5009	3.9986	3.1458
61.08	3.5319	4.0530	3.2001
61.89	3.5529	4.1075	3.2546
62.71	3.5776	4.1620	3.3092
63.52	3.6103	4.2164	3.3636
64.34	3.6378	4.2711	3.4182
65.15	3.6684	4.3255	3.4726
65.97	3.6987	4.3801	3.5272
66.78	3.7270	4.4346	3.5818
67.59	3.7570	4.4892	3.6363
68.41	3.7879	4.5434	3.6905
69.22	3.8161	4.5980	3.7451
70.04	3.8418	4.6526	3.7997
70.85	3.8668	4.7071	3.8543
71.67	3.8914	4.7615	3.9087
72.48	3.9160	4.8161	3.9633
73.30	3.9407	4.8705	4.0176
74.11	3.9686	4.9251	4.0722
74.92	3.9930	4.9796	4.1268
75.74	4.0171	5.0341	4.1812
76.55	4.0389	5.0885	4.2356
77.37	4.0616	5.1431	4.2903
78.18	4.0830	5.1976	4.3447
79.00	4.1001	5.2522	4.3993
79.81	4.1120	5.3066	4.4538
80.62	4.1249	5.3611	4.5082
81.44	4.1478	5.4156	4.5628
82.25	4.1705	5.4701	4.6172
83.07	4.1983	5.5246	4.6718
83.88	4.2252	5.5792	4.7263
84.70	4.2490	5.6336	4.7807
85.51	4.2670	5.6882	4.8354
86.33	4.2873	5.7426	4.8897
87.14	4.3080	5.7971	4.9443
87.95	4.3306	5.8517	4.9988
88.77	4.3566	5.9062	5.0533
89.58	4.3785	5.9606	5.1077
90.40	4.4007	6.0153	5.1624
91.21	4.4231	6.0697	5.2168
92.03	4.4457	6.1242	5.2713
92.84	4.4673	6.1788	5.3259
