Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000			
0.7518	0.00000	0.018232	-1.3321
1.504	0.0053996	0.068467	-1.2819
2.255	0.012659	0.11882	-1.2315
3.007	0.020937	0.16918	-1.1811
3.759	0.030880	0.21958	-1.1307
4.511	0.040823	0.26973	-1.0806
5.262	0.050767	0.32008	-1.0302
6.014	0.061703	0.37045	-0.97987
6.766	0.075787	0.42065	-0.92967
7.518	0.093225	0.47091	-0.87941
8.270	0.10952	0.52141	-0.82891
9.021	0.12815	0.57170	-0.77862
9.773	0.14818	0.62200	-0.72832
10.52	0.16822	0.67233	-0.67799
11.28	0.18924	0.72273	-0.62759
12.03	0.21242	0.77285	-0.57747
12.78	0.23559	0.82316	-0.52716
13.53	0.26423	0.87359	-0.47673
14.28	0.29100	0.92400	-0.42632
15.04	0.31776	0.97415	-0.37617
15.79	0.34536	1.0246	-0.32573
16.54	0.37477	1.0748	-0.27553
17.29	0.40631	1.1250	-0.22528
18.04	0.40988	1.1755	-0.17486
18.79	0.43346	1.2257	-0.12461
19.55	0.46023	1.2760	-0.074304
20.30	0.48710	1.3265	-0.023829
21.05	0.51553	1.3768	0.026474
21.80	0.54793	1.4269	0.076617
22.55	0.57174	1.4773	0.12703
23.31	0.60795	1.5276	0.17726
24.06	0.64431	1.5780	0.22772
24.81	0.67377	1.6283	0.27794
25.56	0.69842	1.6786	0.32827
26.31	0.72996	1.7288	0.37851
27.06	0.77025	1.7792	0.42885
27.82	0.81704	1.8296	0.47926
28.57	0.86911	1.8798	0.52947
29.32	0.91951	1.9303	0.57995
30.07	0.97039	1.9806	0.63027
30.82	1.0221	2.0307	0.68038
31.57	1.0707	2.0812	0.73087
32.33	1.1223	2.1314	0.78108
33.08	1.1571	2.1818	0.83148
33.83	1.2098	2.2321	0.88176
34.58	1.2717	2.2824	0.93204
35.33	1.3291	2.3328	0.98249
36.09	1.3868	2.3831	1.0328
36.84	1.4398	2.4333	1.0830
37.59	1.4952	2.4837	1.1334
38.34	1.5501	2.5339	1.1836
39.09	1.6044	2.5842	1.2339
39.84	1.6587	2.6346	1.2843
40.60	1.7088	2.6848	1.3345
41.35	1.7371	2.7351	1.3848
42.10	1.7864	2.7856	1.4353
42.85	1.8358	2.8358	1.4854
43.60	1.8774	2.8862	1.5359
44.35	1.9202	2.9365	1.5862
45.11	1.9603	2.9867	1.6364
45.86	1.9814	3.0372	1.6869
46.61	2.0168	3.0874	1.7371
47.36	2.0553	3.1377	1.7874
48.11	2.0921	3.1881	1.8378
48.87	2.1185	3.2384	1.8881
49.62	2.1525	3.2887	1.9383
50.37	2.1821	3.3389	1.9886
51.12	2.2103	3.3893	2.0390
51.87	2.2360	3.4398	2.0894
52.62	2.2618	3.4898	2.1395
53.38	2.2877	3.5403	2.1899
54.13	2.3126	3.5905	2.2402
54.88	2.3381	3.6408	2.2905
55.63	2.3629	3.6911	2.3408
56.38	2.3867	3.7415	2.3912
57.14	2.4092	3.7918	2.4415
57.89	2.4297	3.8422	2.4919
58.64	2.4450	3.8925	2.5422
59.39	2.4652	3.9427	2.5924
60.14	2.4875	3.9931	2.6428
60.89	2.5072	4.0435	2.6932
61.65	2.5168	4.0937	2.7434
62.40	2.5321	4.1440	2.7937
63.15	2.5495	4.1944	2.8441
63.90	2.5668	4.2446	2.8943
64.65	2.5842	4.2951	2.9448
65.40	2.5980	4.3453	2.9950
66.16	2.6125	4.3956	3.0453
66.91	2.6259	4.4459	3.0956
67.66	2.6388	4.4962	3.1459
68.41	2.6518	4.5465	3.1962
69.16	2.6666	4.5968	3.2465
69.92	2.6808	4.6473	3.2970
70.67	2.6948	4.6974	3.3471
71.42	2.7072	4.7477	3.3974
72.17	2.7177	4.7982	3.4479
72.92	2.7287	4.8485	3.4982
73.67	2.7408	4.8987	3.5484
74.43	2.7529	4.9490	3.5987
75.18	2.7646	4.9994	3.6491
75.93	2.7767	5.0496	3.6993
76.68	2.7886	5.1001	3.7498
77.43	2.7984	5.1503	3.8000
78.18	2.8079	5.2007	3.8504
78.94	2.8174	5.2509	3.9006
79.69	2.8288	5.3013	3.9510
80.44	2.8322	5.3515	4.0012
81.19	2.8374	5.4018	4.0515
81.94	2.8391	5.4522	4.1019
82.70	2.8412	5.5025	4.1522
83.45	2.8447	5.5527	4.2024
84.20	2.8489	5.6031	4.2528
84.95	2.8570	5.6535	4.3032
85.70	2.8620	5.7037	4.3534
86.45	2.8715	5.7542	4.4038
87.21	2.8816	5.8045	4.4542
87.96	2.8931	5.8547	4.5044
88.71	2.9078	5.9050	4.5547
89.46	2.9182	5.9555	4.6052
90.21	2.9286	6.0057	4.6554
90.96	2.9401	6.0560	4.7057
91.72	2.9528	6.1064	4.7561
92.47	2.9656	6.1567	4.8064
93.22	2.9781	6.2070	4.8566
93.97	2.9901	6.2572	4.9069
94.72	3.0000	6.3078	4.9574
95.48	3.0089	6.3580	5.0077
96.23	3.0168	6.4082	5.0579
96.98	3.0172	6.4586	5.1083
97.73	3.0206	6.5088	5.1585
98.48	3.0276	6.5592	5.2088
99.23	3.0353	6.6094	5.2591
99.99	3.0437	6.6599	5.3096
100.7	3.0524	6.7101	5.3598
101.5	3.0675	6.7605	5.4102
102.2	3.0811	6.8107	5.4604
103.0	3.0902	6.8610	5.5107
103.7	3.1004	6.9113	5.5609
104.5	3.1110	6.9617	5.6114
105.2	3.1221	7.0119	5.6616
106.0	3.1332	7.0623	5.7119
106.8	3.1443	7.1126	5.7623
107.5	3.1552	7.1630	5.8127
108.3	3.1661	7.2133	5.8630
109.0	3.1818	7.2637	5.9133
109.8	3.1943	7.3140	5.9637
110.5	3.2067	7.3642	6.0139
111.3	3.2186	7.4145	6.0642
112.0	3.2304	7.4649	6.1146
112.8	3.2421	7.5152	6.1649
113.5	3.2535	7.5655	6.2151
114.3	3.2649	7.6157	6.2654
115.0	3.2762	7.6661	6.3158
115.8	3.2823	7.7164	6.3661
116.5	3.2918	7.7667	6.4164
117.3	3.3043	7.8170	6.4667
118.0	3.3143	7.8672	6.5169
118.8	3.3242	7.9176	6.5673
119.5	3.3368	7.9680	6.6177
120.3	3.3443	8.0182	6.6679
121.0	3.3520	8.0685	6.7182
121.8	3.3609	8.1189	6.7686
122.5	3.3697	8.1694	6.8191
123.3	3.3728	8.2196	6.8693
124.0	3.3772	8.2699	6.9196
124.8	3.3848	8.3201	6.9698
125.5	3.3942	8.3704	7.0201
126.3	3.4063	8.4208	7.0705
127.1	3.4187	8.4710	7.1207
127.8	3.4323	8.5215	7.1712
128.6	3.4480	8.5718	7.2215
129.3	3.4628	8.6222	7.2719
130.1	3.4768	8.6725	7.3222
130.8	3.4903	8.7228	7.3725
131.6	3.5037	8.7731	7.4228
132.3	3.5171	8.8234	7.4731
133.1	3.5272	8.8737	7.5234
133.8	3.5393	8.9240	7.5737
134.6	3.5515	8.9743	7.6240
135.3	3.5636	9.0247	7.6743
136.1	3.5743	9.0750	7.7246
136.8	3.5848	9.1253	7.7750
