Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
137.6	3.5958	9.1755	7.8252
138.3	3.6071	9.2259	7.8756
139.1	3.6193	9.2762	7.9259
139.8	3.6314	9.3264	7.9761
140.6	3.6414	9.3768	8.0265
141.3	3.6514	9.4270	8.0767
142.1	3.6583	9.4775	8.1272
142.8	3.6677	9.5277	8.1774
143.6	3.6777	9.5780	8.2277
144.3	3.6877	9.6283	8.2780
145.1	3.6979	9.6787	8.3283
145.8	3.7086	9.7291	8.3788
146.6	3.7193	9.7793	8.4290
147.3	3.7292	9.8296	8.4792
148.1	3.7392	9.8800	8.5297
148.9	3.7483	9.9303	8.5799
149.6		9.9807	8.6303
