Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000			
0.6455	0.0019073	0.0071796	-1.4434
1.291	0.0019073	0.050685	-1.3999
1.937	0.0036345	0.093928	-1.3567
2.582	0.0069279	0.13702	-1.3136
3.228	0.0089512	0.18021	-1.2704
3.873	0.010974	0.22346	-1.2272
4.519	0.013364	0.26685	-1.1838
5.164	0.016584	0.30984	-1.1408
5.810	0.019804	0.35324	-1.0974
6.455	0.023024	0.39633	-1.0543
7.101	0.031342	0.43946	-1.0112
7.747	0.036381	0.48273	-0.96790
8.392	0.041420	0.52604	-0.92459
9.038	0.046459	0.56906	-0.88157
9.683	0.052655	0.61238	-0.83825
10.33	0.059572	0.65548	-0.79515
10.97	0.069135	0.69871	-0.75191
11.62	0.080419	0.74191	-0.70872
12.27	0.091703	0.78523	-0.66539
12.91	0.10389	0.82843	-0.62220
13.56	0.12238	0.87162	-0.57900
14.20	0.14096	0.91476	-0.53587
14.85	0.15954	0.95806	-0.49257
15.49	0.18072	1.0012	-0.44947
16.14	0.20339	1.0445	-0.40611
16.78	0.22926	1.0877	-0.36294
17.43	0.25969	1.1309	-0.31974
18.08	0.28691	1.1740	-0.27662
18.72	0.31717	1.2174	-0.23324
19.37	0.34861	1.2604	-0.19024
20.01	0.38011	1.3037	-0.14690
20.66	0.41312	1.3469	-0.10370
21.30	0.44669	1.3901	-0.060572
21.95	0.48478	1.4332	-0.017424
22.59	0.52268	1.4765	0.025906
23.24	0.56060	1.5196	0.069014
23.89	0.59902	1.5630	0.11237
24.53	0.64282	1.6060	0.15541
25.18	0.68448	1.6494	0.19875
25.82	0.72689	1.6925	0.24183
26.47	0.76986	1.7357	0.28508
27.11	0.81585	1.7789	0.32826
27.76	0.86265	1.8221	0.37144
28.40	0.90867	1.8653	0.41468
29.05	0.95413	1.9086	0.45798
29.70	1.0001	1.9517	0.50105
30.34	1.0469	1.9950	0.54440
30.99	1.0924	2.0381	0.58747
31.63	1.1364	2.0814	0.63079
32.28	1.1788	2.1246	0.67397
32.92	1.2219	2.1678	0.71715
33.57	1.2646	2.2109	0.76031
34.21	1.3066	2.2542	0.80361
34.86	1.3453	2.2975	0.84684
35.51	1.3821	2.3406	0.89001
36.15	1.4190	2.3837	0.93305
36.80	1.4554	2.4271	0.97644
37.44	1.4936	2.4702	1.0196
38.09	1.5303	2.5133	1.0627
38.73	1.5637	2.5565	1.1059
39.38	1.5967	2.6000	1.1493
40.02	1.6242	2.6431	1.1924
40.67	1.6496	2.6862	1.2355
41.32	1.6805	2.7295	1.2789
41.96	1.7131	2.7725	1.3219
42.61	1.7443	2.8159	1.3653
43.25	1.7753	2.8591	1.4085
43.90	1.8034	2.9024	1.4517
44.54	1.8091	2.9454	1.4948
45.19	1.8329	2.9887	1.5381
45.83	1.8579	3.0320	1.5813
46.48	1.8834	3.0751	1.6245
47.12	1.9074	3.1182	1.6676
47.77	1.9254	3.1615	1.7109
48.42	1.9433	3.2048	1.7542
49.06	1.9614	3.2480	1.7973
49.71	1.9794	3.2912	1.8405
50.35	1.9978	3.3342	1.8836
51.00	2.0137	3.3774	1.9268
51.64	2.0275	3.4208	1.9702
52.29	2.0420	3.4640	2.0134
52.93	2.0569	3.5070	2.0564
53.58	2.0709	3.5503	2.0996
54.23	2.0841	3.5936	2.1429
54.87	2.1021	3.6368	2.1862
55.52	2.1153	3.6799	2.2293
56.16	2.1218	3.7231	2.2725
56.81	2.1353	3.7664	2.3157
57.45	2.1472	3.8095	2.3588
58.10	2.1578	3.8528	2.4022
58.74	2.1712	3.8960	2.4454
59.39	2.1846	3.9391	2.4885
60.04	2.1971	3.9824	2.5318
60.68	2.2043	4.0256	2.5750
61.33	2.2124	4.0687	2.6181
61.97	2.2230	4.1119	2.6613
62.62	2.2339	4.1552	2.7046
63.26	2.2454	4.1985	2.7479
63.91	2.2595	4.2416	2.7910
64.55	2.2697	4.2848	2.8342
65.20	2.2801	4.3280	2.8774
65.85	2.2908	4.3714	2.9207
66.49	2.3013	4.4144	2.9638
67.14	2.3119	4.4578	3.0071
67.78	2.3224	4.5008	3.0502
68.43	2.3330	4.5441	3.0934
69.07	2.3434	4.5874	3.1367
69.72	2.3525	4.6305	3.1799
70.36	2.3618	4.6737	3.2231
71.01	2.3740	4.7169	3.2663
71.66	2.3862	4.7600	3.3094
72.30	2.3983	4.8033	3.3527
72.95	2.4104	4.8465	3.3959
73.59	2.4221	4.8896	3.4390
74.24	2.4323	4.9328	3.4822
74.88	2.4425	4.9760	3.5254
75.53	2.4523	5.0195	3.5688
76.17	2.4613	5.0626	3.6119
76.82	2.4669	5.1058	3.6551
77.47	2.4714	5.1491	3.6985
78.11	2.4825	5.1920	3.7414
78.76	2.4907	5.2354	3.7848
79.40	2.4991	5.2786	3.8280
80.05	2.5075	5.3218	3.8711
80.69	2.5160	5.3649	3.9142
81.34	2.5258	5.4082	3.9576
81.98	2.5362	5.4515	4.0008
82.63	2.5458	5.4947	4.0440
83.28	2.5554	5.5378	4.0871
83.92	2.5650	5.5809	4.1303
84.57	2.5747	5.6243	4.1736
85.21	2.5845	5.6674	4.2168
85.86	2.5942	5.7105	4.2599
86.50	2.6039	5.7538	4.3031
87.15	2.6148	5.7971	4.3464
87.79	2.6261	5.8402	4.3896
88.44	2.6375	5.8835	4.4328
89.09	2.6488	5.9267	4.4761
89.73	2.6576	5.9698	4.5191
90.38	2.6664	6.0131	4.5625
91.02	2.6792	6.0562	4.6056
91.67	2.6890	6.0994	4.6487
92.31	2.6988	6.1426	4.6919
92.96	2.7085	6.1859	4.7353
93.60	2.7178	6.2290	4.7784
94.25	2.7256	6.2722	4.8216
94.90	2.7354	6.3155	4.8649
95.54	2.7424	6.3586	4.9080
96.19	2.7506	6.4019	4.9513
96.83	2.7601	6.4450	4.9944
97.48	2.7685	6.4883	5.0376
98.12	2.7766	6.5314	5.0808
98.77	2.7847	6.5747	5.1241
99.41	2.7925	6.6180	5.1674
100.1	2.7997	6.6610	5.2104
100.7	2.8072	6.7043	5.2537
101.4	2.8165	6.7475	5.2968
102.0	2.8258	6.7907	5.3401
102.6	2.8352	6.8339	5.3833
103.3	2.8446	6.8771	5.4265
103.9	2.8539	6.9202	5.4696
104.6	2.8656	6.9636	5.5130
105.2	2.8727	7.0068	5.5562
105.9	2.8800	7.0499	5.5993
106.5	2.8882	7.0932	5.6426
107.2	2.8961	7.1364	5.6858
107.8	2.9041	7.1795	5.7289
108.5	2.9122	7.2227	5.7721
109.1	2.9202	7.2660	5.8154
109.7	2.9287	7.3092	5.8585
110.4	2.9380	7.3524	5.9018
111.0	2.9477	7.3957	5.9451
111.7	2.9576	7.4387	5.9881
112.3	2.9678	7.4820	6.0314
113.0	2.9781	7.5252	6.0746
113.6	2.9886	7.5684	6.1178
114.3	2.9991	7.6116	6.1609
114.9	3.0097	7.6548	6.2042
115.6	3.0180	7.6979	6.2473
116.2	3.0288	7.7412	6.2906
116.8	3.0396	7.7845	6.3339
117.5	3.0504	7.8277	6.3771
118.1	3.0607	7.8708	6.4202
118.8	3.0689	7.9142	6.4635
119.4	3.0761	7.9573	6.5067
120.1	3.0862	8.0005	6.5499
120.7	3.0968	8.0436	6.5930
121.4	3.1056	8.0868	6.6362
122.0	3.1139	8.1300	6.6794
122.7	3.1228	8.1733	6.7227
123.3	3.1312	8.2165	6.7658
123.9	3.1278	8.2598	6.8091
124.6	3.1357	8.3030	6.8524
125.2	3.1437	8.3461	6.8954
125.9	3.1515	8.3894	6.9387
126.5	3.1595	8.4325	6.9819
127.2	3.1681	8.4757	7.0251
127.8	3.1787	8.5190	7.0684
128.5	0.31662		
