Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000			
0.5176	0.00000	0.00054318	-1.3786
1.035	0.0030117	0.034706	-1.3444
1.553	0.0073096	0.069390	-1.3097
2.071	0.010676	0.10403	-1.2751
2.588	0.014043	0.13855	-1.2406
3.106	0.017409	0.17329	-1.2058
3.623	0.020776	0.20789	-1.1712
4.141	0.024676	0.24265	-1.1365
4.659	0.029159	0.27730	-1.1018
5.176	0.033641	0.31176	-1.0674
5.694	0.038582	0.34648	-1.0326
6.212	0.043778	0.38113	-0.99799
6.729	0.048975	0.41578	-0.96333
7.247	0.054172	0.45035	-0.92877
7.765	0.058704	0.48507	-0.89404
8.282	0.063873	0.51971	-0.85941
8.800	0.071226	0.55441	-0.82471
9.318	0.079447	0.58907	-0.79004
9.835	0.087711	0.62366	-0.75546
10.35	0.095975	0.65833	-0.72079
10.87	0.10458	0.69295	-0.68617
11.39	0.11460	0.72754	-0.65158
11.91	0.12463	0.76235	-0.61677
12.42	0.13569	0.79692	-0.58220
12.94	0.14823	0.83145	-0.54767
13.46	0.16335	0.86623	-0.51289
13.98	0.17752	0.90076	-0.47836
14.49	0.19304	0.93541	-0.44370
15.01	0.20918	0.97007	-0.40904
15.53	0.22674	1.0048	-0.37432
16.05	0.24714	1.0394	-0.33968
16.56	0.26865	1.0740	-0.30516
17.08	0.29016	1.1088	-0.27035
17.60	0.31261	1.1433	-0.23585
18.12	0.33573	1.1780	-0.20115
18.64	0.36352	1.2127	-0.16644
19.15	0.39126	1.2472	-0.13188
19.67	0.41900	1.2820	-0.097113
20.19	0.44598	1.3165	-0.062613
20.71	0.47540	1.3512	-0.027880
21.22	0.50644	1.3858	0.0066733
21.74	0.53993	1.4203	0.041234
22.26	0.57342	1.4551	0.075973
22.78	0.60544	1.4897	0.11061
23.29	0.64302	1.5244	0.14533
23.81	0.67986	1.5592	0.18007
24.33	0.71671	1.5938	0.21466
24.85	0.75356	1.6284	0.24924
25.36	0.79143	1.6629	0.28383
25.88	0.83021	1.6976	0.31853
26.40	0.86927	1.7324	0.35331
26.92	0.90997	1.7669	0.38779
27.44	0.95094	1.8016	0.42249
