Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000			
1.026	0.015391	0.035078	-0.43133
2.052	0.062658	0.10386	-0.36255
3.078	0.10552	0.17240	-0.29401
4.105	0.17050	0.24120	-0.22521
5.131	0.25261	0.30976	-0.15665
6.157	0.35123	0.37860	-0.087815
7.183	0.46558	0.44718	-0.019231
8.209	0.59136	0.51588	0.049467
9.235	0.73226	0.58444	0.11803
10.26	0.87354	0.65325	0.18684
11.29	1.0257	0.72193	0.25552
12.31	1.1761	0.79044	0.32403
13.34	1.3261	0.85927	0.39286
14.37	1.4722	0.92797	0.46156
15.39	1.6123	0.99659	0.53018
16.42	1.7472	1.0652	0.59878
17.44	1.8762	1.1340	0.66761
18.47	1.9703	1.2026	0.73620
19.50	2.0337	1.2712	0.80479
20.52	2.0931	1.3399	0.87346
21.55	2.1932	1.4087	0.94233
22.58	2.2978	1.4772	1.0108
23.60	2.3997	1.5459	1.0795
24.63	2.4977	1.6147	1.1483
25.65	2.5874	1.6834	1.2170
26.68	2.6795	1.7521	1.2857
27.71	2.7643	1.8208	1.3544
28.73	2.8460	1.8893	1.4229
29.76	2.9260	1.9581	1.4917
30.78	2.9778	2.0267	1.5603
31.81	3.0454	2.0953	1.6289
32.84	3.1125	2.1640	1.6976
33.86	3.1689	2.2328	1.7664
34.89	3.2291	2.3015	1.8351
35.92	3.2796	2.3701	1.9037
36.94	3.3264	2.4388	1.9724
37.97	3.3623	2.5075	2.0411
38.99	3.4034	2.5761	2.1097
40.02	3.4485	2.6449	2.1785
41.05	3.4899	2.7137	2.2473
42.07	3.5251	2.7822	2.3158
43.10	3.5602	2.8508	2.3844
44.12	3.5357	2.9196	2.4532
45.15	3.5723	2.9882	2.5218
46.18	3.5714	3.0570	2.5906
47.20	3.5912	3.1256	2.6592
48.23	3.6114	3.1942	2.7278
49.26	3.6463	3.2630	2.7965
50.28	3.6681	3.3316	2.8652
51.31	3.6997	3.4002	2.9338
52.33	3.7248	3.4691	3.0027
53.36	3.7535	3.5376	3.0712
54.39	3.7822	3.6064	3.1400
55.41	3.8084	3.6751	3.2087
56.44	3.8255	3.7438	3.2774
57.46	3.8485	3.8124	3.3460
58.49	3.8709	3.8811	3.4147
59.52	3.8928	3.9497	3.4833
60.54	3.9154	4.0184	3.5519
61.57	3.9321	4.0871	3.6207
62.60	3.9510	4.1557	3.6893
63.62	3.9719	4.2244	3.7580
64.65	3.9930	4.2931	3.8267
65.67	4.0121	4.3619	3.8955
66.70	4.0132	4.4306	3.9641
67.73	4.0096	4.4991	4.0327
68.75	4.0286	4.5679	4.1015
69.78	4.0448	4.6366	4.1702
70.80	4.0565	4.7053	4.2389
71.83	4.0756	4.7738	4.3074
72.86	4.0941	4.8427	4.3763
73.88	4.1117	4.9112	4.4448
74.91	4.1270	4.9798	4.5134
75.94	4.1462	5.0485	4.5821
76.96	4.1578	5.1173	4.6509
77.99	4.1676	5.1859	4.7195
79.01	4.1331	5.2546	4.7882
80.04	4.1439	5.3234	4.8570
81.07	4.1669	5.3921	4.9257
82.09	4.1813	5.4606	4.9942
83.12	4.1901	5.5294	5.0629
84.14	4.2065	5.5980	5.1316
85.17	4.2228	5.6667	5.2003
86.20	4.2392	5.7353	5.2689
87.22	4.2537	5.8039	5.3375
88.25	4.2661	5.8728	5.4064
