Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000			
0.7497	-0.0019073	0.016608	-1.2996
1.499	0.0020006	0.066675	-1.2495
2.249	0.0080079	0.11693	-1.1993
2.999	0.014015	0.16707	-1.1491
3.749	0.024237	0.21731	-1.0989
4.498	0.032465	0.26749	-1.0487
5.248	0.040703	0.31758	-0.99864
5.998	0.051457	0.36785	-0.94838
6.747	0.063964	0.41788	-0.89834
7.497	0.080663	0.46814	-0.84808
8.247	0.094839	0.51842	-0.79781
8.997	0.10903	0.56835	-0.74787
9.746	0.12715	0.61865	-0.69757
10.50	0.14526	0.66878	-0.64744
11.25	0.16416	0.71914	-0.59708
12.00	0.18504	0.76920	-0.54702
12.75	0.20977	0.81936	-0.49687
13.49	0.23432	0.86947	-0.44675
14.24	0.25961	0.91971	-0.39651
14.99	0.28635	0.96992	-0.34630
15.74	0.31271	1.0201	-0.29615
16.49	0.34050	1.0702	-0.24600
17.24	0.37076	1.1205	-0.19573
17.99	0.40142	1.1705	-0.14569
18.74	0.43209	1.2210	-0.095262
19.49	0.46954	1.2710	-0.045183
20.24	0.50349	1.3213	0.0050563
20.99	0.53891	1.3712	0.054999
21.74	0.57698	1.4215	0.10524
22.49	0.62046	1.4716	0.15543
23.24	0.66041	1.5219	0.20572
23.99	0.70022	1.5719	0.25572
24.74	0.74264	1.6222	0.30596
25.49	0.78723	1.6723	0.35610
26.24	0.82998	1.7227	0.40649
26.99	0.87393	1.7727	0.45646
27.74	0.91786	1.8230	0.50680
28.49	0.96051	1.8731	0.55683
29.24	1.0020	1.9232	0.60702
29.99	1.0437	1.9734	0.65717
30.74	1.0844	2.0237	0.70747
31.49	1.1245	2.0738	0.75755
32.24	1.1593	2.1240	0.80776
32.99	1.1950	2.1742	0.85793
33.74	1.2308	2.2244	0.90813
34.49	1.2651	2.2745	0.95832
35.24	1.2977	2.3248	1.0086
35.99	1.3286	2.3749	1.0587
36.74	1.3589	2.4251	1.1089
37.49	1.3893	2.4753	1.1591
38.24	1.4178	2.5253	1.2091
38.98	1.4441	2.5755	1.2593
39.73	1.4715	2.6257	1.3094
40.48	1.4979	2.6759	1.3597
41.23	1.5236	2.7260	1.4098
41.98	1.5493	2.7763	1.4601
42.73	1.5724	2.8265	1.5103
43.48	1.5955	2.8767	1.5605
44.23	1.6177	2.9268	1.6106
44.98	1.6395	2.9769	1.6607
45.73	1.6592	3.0272	1.7110
46.48	1.6783	3.0773	1.7611
47.23	1.6985	3.1274	1.8112
47.98	1.7149	3.1776	1.8614
48.73	1.7328	3.2280	1.9118
49.48	1.7510	3.2781	1.9619
50.23	1.7678	3.3283	2.0121
50.98	1.7826	3.3784	2.0622
51.73	1.7980	3.4287	2.1125
52.48	1.8134	3.4787	2.1625
53.23	1.8287	3.5290	2.2128
53.98	1.8432	3.5791	2.2629
54.73	1.8573	3.6294	2.3132
55.48	1.8714	3.6795	2.3633
56.23	1.8854	3.7297	2.4135
56.98	1.8993	3.7798	2.4635
