Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000			
0.5277	0.0019073	0.0012936	-0.46465
1.055	0.020375	0.036306	-0.42964
1.583	0.047330	0.071751	-0.39420
2.111	0.078586	0.10701	-0.35893
2.639	0.11270	0.14240	-0.32354
3.166	0.14880	0.17761	-0.28834
3.694	0.19184	0.21306	-0.25289
4.222	0.23334	0.24829	-0.21765
4.750	0.27541	0.28359	-0.18235
5.277	0.31747	0.31892	-0.14703
5.805	0.36048	0.35420	-0.11175
6.333	0.40464	0.38957	-0.076382
6.860	0.44884	0.42496	-0.040983
7.388	0.49339	0.46015	-0.0058024
7.916	0.53486	0.49549	0.029543
8.444	0.57817	0.53082	0.064874
8.971	0.62015	0.56618	0.10023
9.499	0.66138	0.60157	0.13562
10.03	0.69836	0.63684	0.17089
10.55	0.74188	0.67201	0.20606
11.08	0.78281	0.70738	0.24143
11.61	0.82130	0.74277	0.27683
12.14	0.85937	0.77828	0.31233
12.67	0.89652	0.81346	0.34751
13.19	0.93265	0.84876	0.38281
13.72	0.96900	0.88400	0.41805
14.25	1.0055	0.91940	0.45345
14.78	1.0408	0.95476	0.48881
15.30	1.0759	0.99008	0.52413
15.83	1.1109	1.0254	0.55945
16.36	1.1458	1.0607	0.59473
16.89	1.1770	1.0961	0.63010
17.41	1.2114	1.1312	0.66530
17.94	1.2453	1.1666	0.70066
18.47	1.2795	1.2019	0.73596
19.00	1.3140	1.2371	0.77119
19.53	1.3468	1.2726	0.80666
20.05	1.3793	1.3080	0.84201
20.58	1.4099	1.3432	0.87726
21.11	1.4431	1.3785	0.91260
21.64	1.4764	1.4138	0.94783
22.16	1.5080	1.4492	0.98328
22.69	1.5396	1.4846	1.0186
23.22	1.5714	1.5199	1.0539
23.75	1.6048	1.5550	1.0891
24.28	1.6381	1.5906	1.1246
24.80	1.6714	1.6257	1.1598
25.33	1.7012	1.6611	1.1952
25.86	1.7370	1.6963	1.2304
26.39	1.7691	1.7318	1.2659
26.91	1.8018	1.7670	1.3011
27.44	1.8351	1.8023	1.3363
27.97	1.8670	1.8376	1.3717
28.50	1.8989	1.8731	1.4071
29.02	1.9308	1.9084	1.4424
29.55	1.9629	1.9436	1.4776
30.08	1.9953	1.9790	1.5130
30.61	2.0277	2.0142	1.5483
31.14	2.0601	2.0496	1.5836
31.66	2.0943	2.0850	1.6190
32.19	2.1284	2.1203	1.6544
32.72	2.1611	2.1556	1.6897
33.25	2.1939	2.1909	1.7250
33.77	2.2270	2.2261	1.7602
34.30	2.2602	2.2616	1.7956
34.83	2.2933	2.2969	1.8309
35.36	2.3265	2.3321	1.8661
35.89	2.3591	2.3674	1.9015
36.41	2.3912	2.4029	1.9369
36.94	2.4238	2.4382	1.9723
37.47	2.4568	2.4734	2.0074
38.00	2.4898	2.5088	2.0429
38.52	2.5221	2.5440	2.0780
39.05	2.5550	2.5794	2.1134
39.58	2.5878	2.6147	2.1488
40.11	2.6218	2.6499	2.1840
40.63	2.6547	2.6854	2.2194
41.16	2.6849	2.7206	2.2547
41.69	2.7166	2.7561	2.2901
42.22	2.7498	2.7914	2.3254
42.75	2.7839	2.8266	2.3607
43.27	2.8162	2.8619	2.3959
43.80	2.8463	2.8972	2.4313
44.33	2.8762	2.9326	2.4666
44.86	2.9073	2.9680	2.5021
45.38	2.9421	3.0032	2.5373
45.91	2.9759	3.0385	2.5725
46.44	3.0071	3.0738	2.6079
46.97	3.0383	3.1092	2.6432
47.50	3.0698	3.1446	2.6786
48.02	3.1022	3.1799	2.7139
48.55	3.1303	3.2151	2.7492
49.08	3.1622	3.2504	2.7845
49.61	3.1961	3.2858	2.8199
50.13	3.2264	3.3212	2.8553
50.66	3.2573	3.3565	2.8906
51.19	3.2882	3.3918	2.9259
51.72	3.3195	3.4271	2.9612
52.24	3.3517	3.4624	2.9965
52.77	3.3845	3.4976	3.0317
53.30	3.4170	3.5330	3.0670
53.83	3.4443	3.5684	3.1024
54.36	3.4726	3.6036	3.1377
54.88	3.5037	3.6389	3.1730
55.41	3.5345	3.6744	3.2084
55.94	3.5633	3.7097	3.2438
56.47	3.5911	3.7449	3.2790
56.99	3.6189	3.7802	3.3142
57.52	3.6465	3.8157	3.3497
58.05	3.6723	3.8510	3.3851
58.58	3.6982	3.8862	3.4203
59.11	3.7249	3.9216	3.4556
59.63	3.7505	3.9569	3.4910
60.16	3.7761	3.9922	3.5262
