Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
60.69	3.8008	4.0276	3.5616
61.22	3.8236	4.0628	3.5969
61.74	3.8464	4.0982	3.6323
62.27	3.8690	4.1335	3.6675
62.80	3.8917	4.1688	3.7029
63.33	3.9088	4.2041	3.7382
63.85	3.9283	4.2394	3.7734
64.38	3.9471	4.2748	3.8088
64.91	3.9657	4.3101	3.8442
65.44	3.9834	4.3453	3.8794
65.97	3.9991	4.3807	3.9148
66.49	4.0127	4.4160	3.9500
67.02	4.0251	4.4512	3.9853
67.55	4.0415	4.4867	4.0207
68.08	4.0578	4.5220	4.0560
68.60	4.0742	4.5575	4.0915
69.13	4.0885	4.5926	4.1267
69.66	4.1018	4.6280	4.1620
70.19	4.1153	4.6632	4.1972
70.72	4.1311	4.6986	4.2326
71.24	4.1461	4.7340	4.2681
71.77	4.1595	4.7693	4.3033
72.30	4.1729	4.8046	4.3386
72.83	4.1863	4.8398	4.3738
73.35	4.1990	4.8752	4.4092
73.88	4.2116	4.9106	4.4446
74.41	4.2243	4.9458	4.4799
74.94	4.2381	4.9811	4.5151
75.46	4.2526	5.0165	4.5506
75.99	4.2659	5.0518	4.5859
76.52	4.2790	5.0871	4.6211
77.05	4.2923	5.1223	4.6563
77.58	4.3062	5.1577	4.6918
78.10	4.3202	5.1930	4.7271
78.63	4.3341	5.2284	4.7624
79.16	4.3463	5.2638	4.7979
79.69	4.3572	5.2990	4.8331
80.21	4.3718	5.3344	4.8685
80.74	4.3865	5.3696	4.9036
81.27	4.4003	5.4051	4.9391
81.80	4.4122	5.4404	4.9744
82.33	4.4250	5.4755	5.0096
82.85	4.4382	5.5109	5.0450
83.38	4.4522	5.5464	5.0804
83.91	4.4661	5.5817	5.1157
84.44	4.4801	5.6170	5.1510
84.96	4.4941	5.6522	5.1862
85.49	4.5080	5.6876	5.2217
86.02	4.5220	5.7229	5.2569
86.55	4.5359	5.7581	5.2922
87.07	4.5499	5.7935	5.3276
87.60	4.5647	5.8288	5.3628
88.13	4.5796	5.8642	5.3982
88.66	4.5945	5.8995	5.4336
89.19	4.6097	5.9349	5.4689
89.71	4.6244	5.9700	5.5041
90.24	4.6376	6.0055	5.5395
90.77	4.6507	6.0408	5.5749
91.30	4.6637	6.0760	5.6100
91.82	4.6766	6.1115	5.6455
92.35	4.6894	6.1467	5.6807
92.88	4.7032	6.1819	5.7160
93.41	4.7190	6.2173	5.7513
93.94	4.7349	6.2527	5.7867
94.46	4.7496	6.2879	5.8220
94.99	4.7629	6.3233	5.8574
95.52	4.7806	6.3585	5.8926
96.05	4.7982	6.3939	5.9280
96.57	4.8146	6.4292	5.9632
97.10	4.8286	6.4645	5.9986
97.63	4.8426	6.4998	6.0338
98.16	4.8566	6.5352	6.0693
98.68	4.8734	6.5706	6.1047
99.21	4.8901	6.6058	6.1398
99.74	4.9058	6.6411	6.1752
100.3	4.9214	6.6765	6.2106
100.8	4.9373	6.7118	6.2458
101.3	4.9528	6.7472	6.2812
101.9	4.9675	6.7825	6.3166
102.4	4.9823	6.8178	6.3519
102.9	4.9971	6.8532	6.3873
103.4	5.0119	6.8885	6.4225
104.0	5.0279	6.9237	6.4577
104.5	5.0406	6.9590	6.4931
105.0		6.9943	6.5284
