Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000			
0.9310	0.0034152	0.028466	-0.78722
1.862	0.017321	0.090940	-0.72474
2.793	0.035888	0.15310	-0.66258
3.724	0.053289	0.21541	-0.60027
4.655	0.078693	0.27787	-0.53781
5.586	0.10674	0.34014	-0.47555
6.517	0.14010	0.40246	-0.41323
7.448	0.17907	0.46469	-0.35100
8.379	0.22133	0.52688	-0.28881
9.310	0.27411	0.58919	-0.22649
10.24	0.33159	0.65176	-0.16392
11.17	0.39130	0.71390	-0.10178
12.10	0.45697	0.77631	-0.039368
13.03	0.52514	0.83860	0.022915
13.97	0.59871	0.90077	0.085090
14.90	0.68064	0.96329	0.14761
15.83	0.76119	1.0256	0.20991
16.76	0.84354	1.0877	0.27199
17.69	0.92025	1.1501	0.33442
18.62	0.99419	1.2124	0.39673
19.55	1.0665	1.2747	0.45899
20.48	1.1148	1.3369	0.52126
21.41	1.1931	1.3994	0.58375
22.34	1.2758	1.4617	0.64603
23.28	1.3561	1.5239	0.70825
24.21	1.4338	1.5863	0.77061
25.14	1.5116	1.6487	0.83301
26.07	1.5823	1.7109	0.89523
27.00	1.6561	1.7733	0.95761
27.93	1.7254	1.8356	1.0199
28.86	1.7899	1.8979	1.0823
29.79	1.8538	1.9603	1.1446
30.72	1.9166	2.0225	1.2068
31.65	1.9741	2.0847	1.2690
32.59	2.0267	2.1470	1.3313
33.52	2.0775	2.2094	1.3937
34.45	2.1259	2.2717	1.4560
35.38	2.1729	2.3340	1.5183
36.31	2.2145	2.3964	1.5807
37.24	2.2533	2.4587	1.6431
38.17	2.2935	2.5209	1.7052
39.10	2.3316	2.5832	1.7676
40.03	2.3649	2.6456	1.8299
40.97	2.4007	2.7078	1.8921
41.90	2.4364	2.7704	1.9547
42.83	2.4721	2.8325	2.0168
43.76	2.5028	2.8949	2.0793
44.69	2.5325	2.9571	2.1414
45.62	2.5636	3.0195	2.2038
46.55	2.5902	3.0817	2.2660
47.48	2.6105	3.1442	2.3285
48.41	2.6190	3.2065	2.3908
49.34	2.6377	3.2687	2.4530
50.28	2.6624	3.3311	2.5154
51.21	2.6828	3.3934	2.5777
52.14	2.6957	3.4556	2.6399
53.07	2.7139	3.5181	2.7024
54.00	2.7324	3.5802	2.7646
54.93	2.7506	3.6426	2.8269
55.86	2.7594	3.7048	2.8892
56.79	2.7740	3.7672	2.9515
57.72	2.7886	3.8295	3.0138
58.65	2.8100	3.8919	3.0762
59.59	2.8275	3.9542	3.1385
60.52	2.8448	4.0164	3.2007
61.45	2.8523	4.0789	3.2632
62.38	2.8564	4.1410	3.3254
63.31	2.8639	4.2035	3.3878
64.24	2.8785	4.2657	3.4500
65.17	2.8913	4.3280	3.5123
66.10	2.9054	4.3904	3.5747
67.03	2.9148	4.4526	3.6369
67.96	2.9258	4.5151	3.6994
68.90	2.9382	4.5773	3.7616
69.83	2.9519	4.6396	3.8240
70.76	2.9663	4.7019	3.8862
71.69	2.9806	4.7642	3.9485
72.62	3.0005	4.8264	4.0108
73.55	3.0179	4.8887	4.0730
74.48	3.0354	4.9512	4.1355
75.41	3.0528	5.0134	4.1978
76.34	3.0700	5.0758	4.2601
77.28	3.0836	5.1381	4.3224
78.21	3.0986	5.2005	4.3848
79.14	3.1174	5.2627	4.4470
80.07	3.1338	5.3249	4.5092
81.00	3.1499	5.3873	4.5716
81.93	3.1660	5.4497	4.6340
82.86	3.1814	5.5120	4.6963
83.79	3.1939	5.5742	4.7585
84.72	3.2099	5.6365	4.8208
85.65	3.2272	5.6988	4.8831
86.59	3.2446	5.7612	4.9455
87.52	3.2536	5.8235	5.0078
88.45	3.2683	5.8858	5.0701
89.38	3.2791	5.9481	5.1325
90.31	3.2839	6.0104	5.1948
91.24	3.2948	6.0728	5.2571
92.17	3.3006	6.1350	5.3193
93.10	3.3127	6.1974	5.3818
94.03	3.3272	6.2598	5.4441
94.96	3.3400	6.3220	5.5063
95.90	3.3438	6.3843	5.5686
96.83	3.3563	6.4466	5.6309
97.76	3.3745	6.5088	5.6931
98.69	3.3909	6.5712	5.7555
99.62	3.4099	6.6337	5.8180
100.6	3.4296	6.6960	5.8803
101.5	3.4520	6.7581	5.9424
102.4	3.4746	6.8206	6.0049
103.3	3.4944	6.8829	6.0672
104.3	3.5152	6.9451	6.1294
105.2	3.5343	7.0075	6.1918
106.1	3.4365	7.0697	6.2540
107.1	3.4373	7.1319	6.3163
108.0	3.4539	7.1943	6.3787
108.9	3.4818	7.2567	6.4410
109.9	3.5082	7.3190	6.5033
110.8	3.5307	7.3812	6.5655
111.7	3.5575	7.4437	6.6280
112.7	3.5864	7.5060	6.6903
113.6	3.6064	7.5683	6.7526
114.5	3.6295	7.6304	6.8148
115.4	3.6518	7.6929	6.8772
116.4	3.6726	7.7552	6.9395
117.3	3.6925	7.8176	7.0019
118.2	3.7122	7.8799	7.0642
119.2	3.7280	7.9420	7.1264
120.1	3.7433	8.0046	7.1889
121.0	3.7582	8.0668	7.2511
122.0	3.7727	8.1290	7.3133
122.9	3.7860	8.1914	7.3757
123.8	3.7979	8.2538	7.4381
124.8	3.8138	8.3160	7.5003
125.7	3.8201	8.3782	7.5626
126.6	3.8322	8.4407	7.6250
127.6	3.8461	8.5029	7.6872
128.5	3.8580	8.5651	7.7494
129.4	3.8747	8.6276	7.8119
130.3	3.8927	8.6898	7.8741
131.3	3.9099	8.7521	7.9364
132.2	3.9263	8.8146	7.9989
133.1	3.9448	8.8767	8.0610
134.1	3.9610	8.9390	8.1233
135.0	3.9769	9.0014	8.1857
135.9	3.9863	9.0637	8.2480
136.9	3.9082	9.1262	8.3105
137.8	3.9118	9.1884	8.3727
138.7	3.9287	9.2506	8.4349
139.7	3.9496	9.3129	8.4973
140.6	3.9787	9.3752	8.5596
141.5	4.0057	9.4376	8.6219
142.4	4.0362	9.4999	8.6843
143.4	4.0666	9.5622	8.7465
144.3	4.0961	9.6245	8.8088
145.2	4.1294	9.6868	8.8711
146.2	4.1590	9.7491	8.9335
147.1	4.1883	9.8114	8.9958
148.0	4.2156	9.8738	9.0581
149.0	4.2414	9.9360	9.1204
149.9	4.2702	9.9984	9.1828
150.8	4.2981	10.061	9.2450
151.8	4.3242	10.123	9.3073
152.7	4.3501	10.185	9.3697
153.6	4.3766	10.248	9.4319
154.6	4.4036	10.310	9.4943
155.5	4.4309	10.372	9.5567
156.4	4.4462	10.435	9.6189
157.3	4.4698	10.497	9.6813
158.3	4.4987	10.559	9.7435
159.2	4.5251	10.622	9.8059
160.1	4.5509	10.684	9.8682
161.1	4.5799	10.746	9.9304
162.0	4.6067	10.809	9.9929
162.9	4.6340	10.871	10.055
163.9	4.6615	10.933	10.117
164.8	4.6918	10.995	10.180
165.7	4.7008	11.058	10.242
166.7	4.7310	11.120	10.304
167.6	4.7632	11.182	10.367
168.5	4.7955	11.245	10.429
169.4	4.8258	11.307	10.491
170.4	4.8505	11.369	10.554
171.3	4.8799	11.432	10.616
172.2	4.9073	11.494	10.678
173.2	4.9331	11.556	10.741
174.1	4.9553	11.619	10.803
175.0	4.9810	11.681	10.865
176.0	5.0078	11.743	10.927
176.9	5.0354	11.805	10.990
177.8	5.0593	11.868	11.052
178.8	5.0833	11.930	11.114
179.7	5.1095	11.992	11.177
180.6	5.1369	12.055	11.239
181.6	5.1639	12.117	11.301
182.5	5.1841	12.179	11.364
183.4	5.2089	12.242	11.426
184.3	5.2341	12.304	11.488
185.3		12.366	11.551
