Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000			
0.3312	0.00088002	0.000027444	-0.76400
0.6624	0.0017626	0.0088274	-0.75520
0.9936	0.0070745	0.031212	-0.73281
1.325	0.015415	0.053315	-0.71071
1.656	0.023756	0.075634	-0.68839
1.987	0.032097	0.097599	-0.66642
2.318	0.044506	0.11997	-0.64405
2.649	0.054300	0.14196	-0.62206
2.981	0.064095	0.16413	-0.59989
3.312	0.073889	0.18642	-0.57760
3.643	0.084291	0.20842	-0.55560
3.974	0.095728	0.23073	-0.53330
4.305	0.10717	0.25282	-0.51120
4.637	0.11860	0.27498	-0.48905
4.968	0.13082	0.29708	-0.46694
5.299	0.14360	0.31944	-0.44458
5.630	0.15638	0.34154	-0.42248
5.961	0.17031	0.36361	-0.40042
6.293	0.18484	0.38580	-0.37822
6.624	0.19936	0.40800	-0.35603
6.955	0.21433	0.43024	-0.33378
7.286	0.23079	0.45233	-0.31169
7.617	0.24724	0.47457	-0.28946
7.948	0.26369	0.49666	-0.26736
8.280	0.28003	0.51880	-0.24523
8.611	0.29645	0.54093	-0.22309
8.942	0.31419	0.56307	-0.20096
9.273	0.33193	0.58537	-0.17865
9.604	0.35465	0.60752	-0.15651
9.936	0.37397	0.62971	-0.13431
10.27	0.39329	0.65180	-0.11222
10.60	0.41261	0.67394	-0.090084
10.93	0.43376	0.69610	-0.067921
11.26	0.45532	0.71831	-0.045715
11.59	0.47689	0.74059	-0.023432
11.92	0.49861	0.76263	-0.0013932
12.25	0.52065	0.78475	0.020730
12.59	0.54681	0.80693	0.042908
12.92	0.56952	0.82903	0.065010
13.25	0.59224	0.85132	0.087300
13.58	0.61525	0.87355	0.10953
13.91	0.63862	0.89558	0.13156
14.24	0.66215	0.91793	0.15391
14.57	0.68567	0.93991	0.17589
14.90	0.70896	0.96216	0.19814
15.23	0.73203	0.98432	0.22030
15.57	0.75304	1.0064	0.24237
15.90	0.75857	1.0286	0.26462
16.23	0.77514	1.0507	0.28673
16.56	0.80005	1.0729	0.30891
16.89	0.82180	1.0953	0.33123
17.22	0.84825	1.1173	0.35327
17.55	0.87342	1.1394	0.37539
17.88	0.89750	1.1616	0.39761
18.22	0.92157	1.1837	0.41972
18.55	0.94381	1.2059	0.44186
18.88	0.96743	1.2282	0.46415
19.21	0.98999	1.2503	0.48624
19.54	1.0082	1.2726	0.50854
19.87	1.0305	1.2947	0.53073
20.20	1.0529	1.3169	0.55288
20.53	1.0752	1.3389	0.57492
20.86	1.0976	1.3611	0.59703
21.20	1.1195	1.3833	0.61932
21.53	1.1413	1.4055	0.64144
21.86	1.1632	1.4276	0.66355
22.19	1.1847	1.4499	0.68585
22.52	1.2069	1.4720	0.70797
22.85	1.2291	1.4941	0.73008
23.18	1.2513	1.5163	0.75230
23.51	1.2739	1.5385	0.77444
23.85	1.2969	1.5607	0.79669
24.18	1.3174	1.5828	0.81879
24.51	1.3365	1.6049	0.84091
24.84	1.3543	1.6272	0.86317
25.17	1.3725	1.6493	0.88529
25.50	1.3902	1.6715	0.90744
25.83	1.4091	1.6936	0.92958
26.16	1.4309	1.7157	0.95171
26.49	1.4508	1.7380	0.97397
26.83	1.4712	1.7601	0.99606
27.16	1.4916	1.7822	1.0182
27.49	1.4900	1.8044	1.0403
27.82	1.4978	1.8265	1.0625
28.15	1.5150	1.8488	1.0848
28.48	1.5362	1.8711	1.1070
28.81	1.5574	1.8931	1.1290
29.14	1.5784	1.9154	1.1513
29.48	1.5985	1.9374	1.1733
29.81	1.6181	1.9595	1.1955
30.14	1.6369	1.9817	1.2177
30.47	1.6530	2.0040	1.2399
30.80	1.6688	2.0262	1.2622
31.13	1.6843	2.0483	1.2842
31.46	1.6994	2.0704	1.3064
