Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000			
0.4227	0.0011050	0.000038063	-0.95400
0.8454	0.0022126	0.023917	-0.93012
1.268	0.010153	0.052239	-0.90180
1.691	0.018949	0.080544	-0.87349
2.114	0.027182	0.10892	-0.84512
2.536	0.035415	0.13713	-0.81691
2.959	0.046067	0.16544	-0.78859
3.382	0.056931	0.19375	-0.76029
3.804	0.067795	0.22212	-0.73191
4.227	0.078659	0.25030	-0.70374
4.650	0.089524	0.27865	-0.67539
5.073	0.10051	0.30695	-0.64709
5.495	0.11412	0.33525	-0.61879
5.918	0.12773	0.36346	-0.59058
6.341	0.14135	0.39177	-0.56227
6.763	0.15496	0.42001	-0.53403
7.186	0.16932	0.44832	-0.50571
7.609	0.18459	0.47676	-0.47728
8.031	0.19986	0.50491	-0.44913
8.454	0.21513	0.53328	-0.42075
8.877	0.23232	0.56154	-0.39250
9.300	0.25000	0.58976	-0.36428
9.722	0.26768	0.61805	-0.33599
10.15	0.28536	0.64631	-0.30772
10.57	0.30474	0.67469	-0.27934
10.99	0.32440	0.70307	-0.25097
11.41	0.34407	0.73132	-0.22272
11.84	0.36426	0.75954	-0.19449
12.26	0.38485	0.78782	-0.16622
12.68	0.40544	0.81611	-0.13793
13.10	0.41839	0.84448	-0.10955
13.53	0.43665	0.87270	-0.081333
13.95	0.45842	0.90104	-0.052998
14.37	0.48038	0.92940	-0.024640
14.79	0.50285	0.95761	0.0035715
15.22	0.52532	0.98599	0.031957
15.64	0.54801	1.0142	0.060170
16.06	0.57206	1.0425	0.088451
16.49	0.59709	1.0707	0.11666
16.91	0.62181	1.0991	0.14504
17.33	0.64443	1.1274	0.17338
17.75	0.66569	1.1557	0.20162
18.18	0.68566	1.1839	0.22982
18.60	0.70682	1.2122	0.25820
19.02	0.72974	1.2405	0.28650
19.44	0.75576	1.2688	0.31472
19.87	0.78179	1.2972	0.34311
20.29	0.80782	1.3254	0.37138
20.71	0.83242	1.3537	0.39968
21.14	0.85804	1.3821	0.42802
21.56	0.88416	1.4103	0.45622
21.98	0.90591	1.4386	0.48453
22.40	0.91707	1.4668	0.51275
22.83	0.92669	1.4952	0.54118
23.25	0.95316	1.5234	0.56934
23.67	0.97962	1.5517	0.59763
24.09	0.99763	1.5801	0.62605
24.52	1.0171	1.6083	0.65422
24.94	1.0424	1.6366	0.68253
25.36	1.0678	1.6650	0.71091
25.79	1.0931	1.6932	0.73912
26.21	1.1166	1.7214	0.76739
26.63	1.1389	1.7497	0.79569
27.05	1.1618	1.7780	0.82400
27.48	1.1844	1.8063	0.85223
27.90	1.2048	1.8345	0.88051
28.32	1.2252	1.8629	0.90882
28.74	1.2360	1.8913	0.93724
29.17	1.2457	1.9196	0.96553
29.59	1.2583	1.9479	0.99383
30.01	1.2680	1.9762	1.0222
30.44	1.2852	2.0045	1.0505
30.86	1.3089	2.0327	1.0787
31.28	1.3286	2.0611	1.1070
31.70	1.3483	2.0893	1.1352
32.13	1.3671	2.1175	1.1634
32.55	1.3842	2.1458	1.1917
32.97	1.3976	2.1741	1.2200
33.39	1.4115	2.2024	1.2484
33.82	1.4268	2.2306	1.2766
34.24	1.4422	2.2590	1.3049
34.66	1.4576	2.2873	1.3333
35.08	1.4681	2.3156	1.3616
35.51	1.4745	2.3440	1.3899
35.93	1.4852	2.3721	1.4181
36.35	1.4958	2.4005	1.4465
36.78	1.5070	2.4289	1.4748
37.20	1.5191	2.4571	1.5031
37.62	1.5351	2.4854	1.5313
38.04	1.5462	2.5137	1.5597
38.47	1.5574	2.5420	1.5880
38.89	1.5651	2.5701	1.6161
39.31	1.5721	2.5984	1.6444
39.73	1.5825	2.6268	1.6728
40.16	1.5930	2.6551	1.7011
40.58	1.6035	2.6834	1.7294
41.00	1.6139	2.7117	1.7577
41.43	1.6242	2.7400	1.7860
41.85	1.6342	2.7683	1.8143
42.27	1.6441	2.7965	1.8424
42.69	1.6527	2.8248	1.8707
43.12	1.6607	2.8531	1.8990
43.54	1.6687	2.8815	1.9274
43.96	1.6766	2.9097	1.9557
44.38	1.6846	2.9380	1.9839
44.81	1.6923	2.9664	2.0124
45.23	1.6993	2.9946	2.0405
45.65	1.7062	3.0229	2.0688
46.08	1.7132	3.0511	2.0971
46.50	1.7220	3.0794	2.1254
46.92	1.7312	3.1076	2.1536
47.34	1.7402	3.1359	2.1819
47.77	1.7492	3.1644	2.2103
48.19	1.7573	3.1926	2.2386
48.61	1.7600	3.2209	2.2669
49.03	1.7691	3.2491	2.2951
49.46	1.7780	3.2774	2.3234
49.88	1.7855	3.3058	2.3517
50.30	1.7931	3.3340	2.3799
50.73	1.8006	3.3623	2.4082
51.15	1.8082	3.3907	2.4366
51.57	1.8157	3.4190	2.4649
51.99	1.8233	3.4471	2.4931
52.42	1.8308	3.4757	2.5216
52.84	1.8379	3.5038	2.5498
53.26	1.8446	3.5321	2.5780
53.68	1.8506	3.5603	2.6063
54.11	1.8556	3.5886	2.6345
54.53	1.8605	3.6170	2.6630
54.95	1.8655	3.6452	2.6912
55.37	1.8710	3.6735	2.7194
55.80	1.8765	3.7017	2.7477
56.22	1.8820	3.7300	2.7760
56.64	1.8875	3.7584	2.8044
57.07	1.8930	3.7868	2.8328
57.49	1.8985	3.8150	2.8609
57.91	1.9041	3.8433	2.8893
58.33	1.9097	3.8717	2.9176
58.76	1.9156	3.9000	2.9459
59.18	1.9212	3.9282	2.9742
59.60	1.9201	3.9565	3.0024
60.02	1.9249	3.9848	3.0307
60.45	1.9308	4.0130	3.0590
60.87	1.9368	4.0413	3.0873
61.29	1.9430	4.0696	3.1156
61.72	1.9493	4.0980	3.1440
62.14	1.9552	4.1262	3.1721
62.56	1.9609	4.1545	3.2005
62.98	1.9667	4.1829	3.2288
63.41	1.9724	4.2111	3.2570
63.83	1.9781	4.2394	3.2854
64.25	1.9838	4.2677	3.3137
64.67	1.9896	4.2959	3.3419
65.10	1.9956	4.3243	3.3702
65.52	2.0015	4.3525	3.3984
65.94	2.0074	4.3809	3.4269
66.37	2.0128	4.4093	3.4552
66.79	2.0179	4.4374	3.4834
67.21	2.0229	4.4658	3.5117
67.63	2.0279	4.4941	3.5400
68.06	2.0332	4.5222	3.5681
68.48	2.0385	4.5506	3.5966
68.90	2.0438	4.5789	3.6249
69.32	2.0489	4.6073	3.6532
69.75	2.0540	4.6354	3.6813
70.17	2.0592	4.6637	3.7096
70.59	2.0643	4.6920	3.7380
71.02	2.0687	4.7204	3.7664
71.44	2.0728	4.7487	3.7947
71.86	2.0770	4.7769	3.8229
72.28	2.0794	4.8052	3.8511
72.71	2.0817	4.8334	3.8794
73.13	2.0861	4.8619	3.9078
73.55	2.0905	4.8901	3.9361
73.97	2.0951	4.9184	3.9644
74.40	2.1002	4.9467	3.9927
74.82	2.1056	4.9749	4.0208
75.24	2.1113	5.0032	4.0491
75.66	2.1170	5.0317	4.0777
76.09	2.1227	5.0598	4.1057
76.51	2.1277	5.0880	4.1340
76.93	2.1325	5.1163	4.1623
77.36	2.1374	5.1447	4.1907
77.78	2.1423	5.1730	4.2190
78.20	2.1471	5.2012	4.2472
78.62	2.1477	5.2295	4.2755
79.05	2.1527	5.2579	4.3038
79.47	2.1576	5.2861	4.3320
79.89	2.1627	5.3143	4.3603
80.31	2.1680	5.3427	4.3887
80.74	2.1734	5.3709	4.4169
81.16	2.1788	5.3993	4.4453
81.58	2.1842	5.4276	4.4735
82.01	2.1895	5.4558	4.5018
82.43	2.1949	5.4842	4.5301
82.85	2.2003	5.5125	4.5584
83.27	2.2057	5.5407	4.5867
83.70	2.2110	5.5692	4.6151
84.12		5.5975	4.6434
