Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000			
0.3459	-0.00095043	0.000028207	-0.96934
0.6918	0.0000091987	0.010469	-0.95889
1.038	0.0074299	0.033781	-0.93558
1.384	0.017307	0.056926	-0.91244
1.730	0.027184	0.080022	-0.88934
2.075	0.037061	0.10314	-0.86622
2.421	0.046938	0.12638	-0.84298
2.767	0.053752	0.14952	-0.81985
3.113	0.061815	0.17267	-0.79669
3.459	0.071479	0.19582	-0.77354
3.805	0.081143	0.21901	-0.75035
4.151	0.090808	0.24204	-0.72732
4.497	0.10047	0.26525	-0.70411
4.843	0.11014	0.28842	-0.68095
5.189	0.11994	0.31152	-0.65784
5.535	0.13047	0.33466	-0.63471
5.881	0.14099	0.35779	-0.61157
6.226	0.15151	0.38101	-0.58835
6.572	0.16204	0.40413	-0.56523
6.918	0.17256	0.42729	-0.54208
7.264	0.18309	0.45039	-0.51897
7.610	0.19361	0.47358	-0.49579
7.956	0.20524	0.49673	-0.47263
8.302	0.21700	0.51987	-0.44949
8.648	0.22876	0.54313	-0.42624
8.994	0.24053	0.56626	-0.40311
9.340	0.25229	0.58939	-0.37997
9.686	0.26472	0.61254	-0.35683
10.03	0.27790	0.63566	-0.33370
10.38	0.29108	0.65883	-0.31053
10.72	0.30426	0.68193	-0.28743
11.07	0.31743	0.70515	-0.26421
11.42	0.33213	0.72831	-0.24105
11.76	0.34839	0.75150	-0.21786
12.11	0.36367	0.77469	-0.19467
12.45	0.37808	0.79787	-0.17150
12.80	0.39286	0.82084	-0.14852
13.14	0.40853	0.84412	-0.12525
13.49	0.42421	0.86728	-0.10208
13.84	0.43988	0.89034	-0.079022
14.18	0.45926	0.91334	-0.056020
14.53	0.47617	0.93671	-0.032653
14.87	0.49309	0.95988	-0.0094795
15.22	0.51000	0.98305	0.013690
15.57	0.52691	1.0062	0.036842
15.91	0.54244	1.0293	0.059945
16.26	0.56206	1.0524	0.083032
16.60	0.57837	1.0755	0.10612
16.95	0.59534	1.0987	0.12929
17.30	0.61330	1.1219	0.15252
17.64	0.63126	1.1451	0.17570
17.99	0.64897	1.1683	0.19889
18.33	0.66624	1.1913	0.22191
18.68	0.68351	1.2145	0.24512
19.03	0.68585	1.2375	0.26816
19.37	0.70317	1.2607	0.29130
19.72	0.72086	1.2839	0.31450
20.06	0.73944	1.3071	0.33778
20.41	0.75803	1.3303	0.36097
20.75	0.77704	1.3534	0.38399
21.10	0.79682	1.3766	0.40724
21.45	0.81348	1.3998	0.43042
21.79	0.83015	1.4228	0.45344
22.14	0.84783	1.4459	0.47655
22.48	0.86628	1.4691	0.49971
22.83	0.88395	1.4922	0.52285
23.18	0.89999	1.5154	0.54605
23.52	0.91536	1.5385	0.56919
23.87	0.93123	1.5617	0.59235
24.21	0.94726	1.5849	0.61551
24.56	0.96134	1.6080	0.63867
24.91	0.96787	1.6312	0.66187
25.25	0.98419	1.6544	0.68508
25.60	1.0028	1.6775	0.70810
25.94	1.0214	1.7007	0.73129
26.29	1.0400	1.7238	0.75444
26.64	1.0586	1.7469	0.77752
26.98	1.0782	1.7700	0.80061
27.33	1.0978	1.7933	0.82394
27.67	1.1163	1.8165	0.84714
28.02	1.1344	1.8396	0.87024
28.36	1.1526	1.8626	0.89328
28.71	1.1711	1.8859	0.91653
29.06	1.1889	1.9089	0.93958
29.40	1.2049	1.9321	0.96271
29.75	1.2213	1.9553	0.98598
30.09	1.2376	1.9785	1.0091
30.44	1.2540	2.0017	1.0323
30.79	1.2718	2.0248	1.0555
31.13	1.2897	2.0479	1.0786
31.48	1.3076	2.0711	1.1017
31.82	1.3253	2.0943	1.1250
32.17	1.3430	2.1173	1.1480
32.52	1.3599	2.1405	1.1711
32.86	1.3805	2.1636	1.1943
33.21	1.3977	2.1869	1.2175
33.55	1.4148	2.2100	1.2406
33.90	1.4319	2.2332	1.2638
34.25	1.4489	2.2563	1.2869
34.59	1.4654	2.2794	1.3100
34.94	1.4820	2.3025	1.3331
35.28	1.4985	2.3258	1.3565
35.63	1.5177	2.3490	1.3796
35.98	1.5296	2.3721	1.4027
36.32	1.5390	2.3952	1.4258
36.67	1.5554	2.4184	1.4490
37.01	1.5718	2.4415	1.4721
37.36	1.5882	2.4646	1.4952
37.70	1.5953	2.4877	1.5184
38.05	1.6096	2.5109	1.5415
38.40	1.6240	2.5340	1.5647
38.74	1.6381	2.5573	1.5879
39.09	1.6518	2.5804	1.6111
39.43	1.6654	2.6036	1.6342
39.78	1.6818	2.6266	1.6572
40.13	1.6991	2.6499	1.6805
40.47	1.7149	2.6731	1.7037
40.82	1.7302	2.6963	1.7269
41.16	1.7462	2.7193	1.7499
41.51	1.7621	2.7425	1.7732
41.86	1.7781	2.7656	1.7962
42.20	1.7940	2.7888	1.8195
42.55	1.8098	2.8119	1.8425
42.89	1.8257	2.8350	1.8656
43.24	1.8395	2.8581	1.8887
43.59	1.8533	2.8814	1.9120
43.93	1.8670	2.9045	1.9351
44.28	1.8751	2.9276	1.9582
44.62	1.8427	2.9509	1.9815
44.97	1.8600	2.9740	2.0047
45.31	1.8773	2.9972	2.0278
45.66	1.8946	3.0204	2.0510
46.01	1.9118	3.0434	2.0740
46.35	1.9282	3.0666	2.0972
46.70	1.9436	3.0897	2.1203
47.04	1.9538	3.1128	2.1435
47.39	1.9686	3.1361	2.1668
47.74	1.9833	3.1591	2.1898
48.08	1.9961	3.1823	2.2130
48.43	2.0087	3.2055	2.2362
48.77	2.0195	3.2286	2.2593
49.12	2.0298	3.2517	2.2824
49.47	2.0409	3.2749	2.3055
49.81	2.0519	3.2980	2.3287
50.16	2.0626	3.3213	2.3520
50.50	2.0676	3.3446	2.3752
50.85	2.0506	3.3676	2.3982
51.20	2.0564	3.3908	2.4214
51.54	2.0667	3.4139	2.4445
51.89	2.0795	3.4369	2.4676
52.23	2.0926	3.4601	2.4907
52.58	2.1052	3.4833	2.5139
52.92	2.1160	3.5065	2.5371
53.27	2.1268	3.5297	2.5603
53.62	2.1376	3.5528	2.5835
53.96	2.1484	3.5759	2.6065
54.31	2.1592	3.5990	2.6296
54.65	2.1700	3.6222	2.6529
55.00	2.1808	3.6455	2.6761
55.35	2.1916	3.6685	2.6992
55.69	2.2024	3.6916	2.7222
56.04	2.1899	3.7147	2.7454
56.38	2.1877	3.7380	2.7686
56.73	2.1876	3.7611	2.7917
57.08	2.1939	3.7844	2.8150
57.42	2.2066	3.8074	2.8381
57.77	2.2161	3.8305	2.8611
58.11	2.2256	3.8538	2.8844
58.46	2.2350	3.8769	2.9076
58.81	2.2440	3.9000	2.9306
59.15	2.2525	3.9231	2.9537
59.50	2.2612	3.9462	2.9769
59.84	2.2712	3.9695	3.0001
60.19	2.2812	3.9927	3.0234
60.53	2.2912	4.0158	3.0464
60.88	2.3012	4.0388	3.0695
61.23	2.3089	4.0621	3.0927
61.57	2.3154	4.0853	3.1160
61.92	2.3236	4.1083	3.1389
62.26	2.3331	4.1315	3.1621
62.61	2.3460	4.1546	3.1852
62.96	2.3541	4.1777	3.2083
63.30	2.3622	4.2010	3.2317
63.65	2.3509	4.2242	3.2548
63.99	2.3548	4.2473	3.2779
64.34	2.3621	4.2705	3.3011
64.69	2.3719	4.2935	3.3241
65.03	2.3817	4.3168	3.3475
65.38	2.3915	4.3399	3.3705
65.72	2.4014	4.3631	3.3938
66.07	2.4113	4.3863	3.4169
66.42	2.4211	4.4094	3.4401
66.76	2.4310	4.4326	3.4632
67.11	2.4390	4.4558	3.4864
67.45	2.4468	4.4788	3.5094
67.80	2.4547	4.5020	3.5326
68.15	2.4552	4.5250	3.5557
68.49	2.4399	4.5481	3.5788
68.84		4.5715	3.6022
