Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000			
0.8433	0.0012724	0.022758	-0.69614
1.687	0.019414	0.079335	-0.63956
2.530	0.037863	0.13577	-0.58313
3.373	0.058483	0.19222	-0.52668
4.217	0.083426	0.24846	-0.47043
5.060	0.11372	0.30499	-0.41390
5.903	0.15263	0.36145	-0.35745
6.747	0.19348	0.41792	-0.30098
7.590	0.24074	0.47443	-0.24447
8.433	0.29687	0.53082	-0.18808
9.277	0.35379	0.58721	-0.13169
10.12	0.41406	0.64368	-0.075223
10.96	0.47733	0.70015	-0.018753
11.81	0.54589	0.75656	0.037658
12.65	0.61547	0.81294	0.094039
13.49	0.68789	0.86952	0.15062
14.34	0.76097	0.92592	0.20702
15.18	0.83251	0.98232	0.26342
16.02	0.90435	1.0387	0.31983
16.87	0.97802	1.0953	0.37640
17.71	1.0513	1.1517	0.43280
18.55	1.1224	1.2082	0.48931
19.40	1.1879	1.2646	0.54573
20.24	1.2447	1.3210	0.60212
21.08	1.3066	1.3774	0.65852
21.93	1.3683	1.4340	0.71506
22.77	1.4272	1.4904	0.77147
23.61	1.4567	1.5468	0.82788
24.46	1.5127	1.6033	0.88444
25.30	1.5663	1.6597	0.94081
26.14	1.6151	1.7161	0.99719
26.99	1.6576	1.7727	1.0538
27.83	1.6941	1.8291	1.1102
28.67	1.7239	1.8855	1.1666
29.52	1.7602	1.9420	1.2231
30.36	1.7951	1.9985	1.2796
31.20	1.8261	2.0548	1.3359
32.05	1.8455	2.1113	1.3924
32.89	1.8632	2.1678	1.4489
33.73	1.8913	2.2241	1.5052
34.58	1.9195	2.2806	1.5617
35.42	1.9437	2.3370	1.6181
36.26	1.9665	2.3935	1.6746
37.11	1.9873	2.4498	1.7309
37.95	2.0043	2.5064	1.7875
38.79	2.0226	2.5628	1.8439
39.64	2.0397	2.6191	1.9002
40.48	2.0561	2.6757	1.9568
41.32	2.0741	2.7321	2.0132
42.17	2.0869	2.7886	2.0697
43.01	2.0983	2.8450	2.1261
43.85	2.1109	2.9014	2.1825
44.70	2.1243	2.9579	2.2390
45.54	2.1376	3.0144	2.2955
46.38	2.1500	3.0707	2.3518
47.23	2.1617	3.1272	2.4083
48.07	2.1702	3.1837	2.4648
48.91	2.1789	3.2402	2.5213
49.76	2.1922	3.2965	2.5776
50.60	2.2054	3.3531	2.6342
51.44	2.2187	3.4094	2.6905
52.29	2.2319	3.4659	2.7470
53.13	2.2447	3.5223	2.8034
53.97	2.2516	3.5788	2.8599
54.82	2.2640	3.6351	2.9162
55.66	2.2745	3.6918	2.9729
56.50	2.2830	3.7482	3.0293
57.35	2.2934	3.8046	3.0857
58.19	2.3022	3.8609	3.1421
59.03	2.3081	3.9175	3.1986
59.88	2.3197	3.9740	3.2551
60.72	2.3311	4.0304	3.3115
61.56	2.3424	4.0867	3.3678
62.41	2.3579	4.1433	3.4244
63.25	2.3697	4.1997	3.4808
64.09	2.3815	4.2561	3.5372
64.94	2.3932	4.3125	3.5936
65.78	2.3970	4.3689	3.6500
66.62	2.4038	4.4253	3.7064
67.47	2.4123	4.4820	3.7631
68.31	2.4220	4.5382	3.8193
69.15	2.4312	4.5948	3.8759
70.00	2.4364	4.6512	3.9323
70.84	2.4424	4.7076	3.9887
71.68	2.4488	4.7641	4.0452
72.53	2.4454	4.8204	4.1015
