Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000			
0.8225	0.00070296	0.022097	-1.0647
1.645	0.014595	0.077221	-1.0096
2.468	0.028113	0.13232	-0.95448
3.290	0.040765	0.18731	-0.89949
4.113	0.055031	0.24221	-0.84459
4.935	0.074511	0.29743	-0.78937
5.758	0.090637	0.35241	-0.73439
6.580	0.10950	0.40752	-0.67928
7.403	0.12860	0.46250	-0.62430
8.225	0.15176	0.51764	-0.56917
9.048	0.17603	0.57253	-0.51427
9.870	0.20031	0.62779	-0.45901
10.69	0.22737	0.68262	-0.40418
11.52	0.25568	0.73776	-0.34904
12.34	0.28681	0.79277	-0.29404
13.16	0.31995	0.84797	-0.23884
13.98	0.35846	0.90289	-0.18391
14.81	0.39668	0.95806	-0.12874
15.63	0.43749	1.0130	-0.073814
16.45	0.48150	1.0681	-0.018750
17.27	0.53121	1.1232	0.036373
18.10	0.58135	1.1782	0.091371
18.92	0.63610	1.2332	0.14639
19.74	0.69318	1.2882	0.20137
20.56	0.75440	1.3434	0.25658
21.39	0.81714	1.3984	0.31157
22.21	0.88379	1.4533	0.36649
23.03	0.94779	1.5084	0.42156
23.85	1.0147	1.5637	0.47691
24.68	1.0849	1.6186	0.53184
25.50	1.1558	1.6737	0.58686
26.32	1.2278	1.7286	0.64180
27.14	1.3001	1.7838	0.69696
27.97	1.3672	1.8388	0.75195
28.79	1.4211	1.8937	0.80695
29.61	1.4944	1.9489	0.86211
30.43	1.5632	2.0040	0.91717
31.26	1.6367	2.0589	0.97211
32.08	1.7081	2.1139	1.0271
32.90	1.7794	2.1691	1.0823
33.72	1.8530	2.2242	1.1374
34.55	1.9161	2.2792	1.1924
35.37	1.9738	2.3342	1.2474
36.19	2.0424	2.3893	1.3025
37.01	2.1150	2.4443	1.3575
37.84	2.1899	2.4994	1.4126
38.66	2.2646	2.5543	1.4675
39.48	2.3178	2.6095	1.5227
40.30	2.3971	2.6645	1.5777
41.13	2.4710	2.7196	1.6328
41.95	2.5429	2.7746	1.6878
42.77	2.6120	2.8296	1.7428
43.59	2.6578	2.8846	1.7978
44.42	2.7260	2.9398	1.8530
45.24	2.7941	2.9948	1.9080
46.06	2.8627	3.0498	1.9630
46.88	2.9337	3.1050	2.0182
47.71	3.0074	3.1601	2.0733
48.53	3.0755	3.2150	2.1282
49.35	3.1430	3.2701	2.1833
50.17	3.2087	3.3250	2.2382
