Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000			
0.8176	0.015969	0.021319	-0.35740
1.635	0.081751	0.076097	-0.30262
2.453	0.14805	0.13087	-0.24785
3.270	0.21000	0.18564	-0.19308
4.088	0.28705	0.24025	-0.13847
4.906	0.36709	0.29504	-0.083679
5.723	0.45107	0.34985	-0.028876
6.541	0.54278	0.40448	0.025761
7.358	0.63422	0.45917	0.080449
8.176	0.73040	0.51376	0.13504
8.994	0.82661	0.56848	0.18976
9.811	0.92531	0.62335	0.24463
10.63	1.0253	0.67807	0.29935
11.45	1.1273	0.73270	0.35398
12.26	1.2330	0.78742	0.40869
13.08	1.3373	0.84224	0.46351
13.90	1.4434	0.89688	0.51816
14.72	1.5500	0.95155	0.57282
15.53	1.6502	1.0065	0.62775
16.35	1.7532	1.0611	0.68238
17.17	1.8386	1.1157	0.73702
17.99	1.9050	1.1706	0.79186
18.80	2.0062	1.2251	0.84640
19.62	2.1070	1.2799	0.90119
20.44	2.1226	1.3347	0.95601
21.26	2.2232	1.3895	1.0107
22.08	2.3196	1.4441	1.0654
22.89	2.4092	1.4989	1.1202
23.71	2.4815	1.5536	1.1749
24.53	2.5516	1.6083	1.2296
25.35	2.6292	1.6631	1.2844
26.16	2.7059	1.7176	1.3389
26.98	2.7809	1.7724	1.3937
27.80	2.8507	1.8272	1.4485
28.62	2.9054	1.8819	1.5032
29.43	2.9616	1.9367	1.5579
30.25	2.9627	1.9913	1.6126
31.07	3.0252	2.0461	1.6673
31.89	3.0859	2.1007	1.7220
32.70	3.1425	2.1554	1.7767
33.52	3.1930	2.2103	1.8316
34.34	3.2421	2.2650	1.8863
35.16	3.2889	2.3196	1.9409
35.97	3.3345	2.3744	1.9957
36.79	3.3790	2.4291	2.0504
37.61	3.4217	2.4839	2.1051
38.43	3.4616	2.5385	2.1598
39.25	3.4984	2.5933	2.2146
40.06	3.4947	2.6480	2.2693
40.88	3.5243	2.7028	2.3241
41.70	3.5580	2.7574	2.3787
42.52	3.5959	2.8122	2.4335
43.33	3.6262	2.8668	2.4881
44.15	3.6332	2.9216	2.5429
44.97	3.6398	2.9762	2.5975
45.79	3.6662	3.0309	2.6522
46.60	3.6994	3.0857	2.7070
47.42	3.7260	3.1404	2.7617
48.24	3.7510	3.1952	2.8165
49.06	3.7727	3.2498	2.8711
49.87	3.7992	3.3047	2.9260
50.69	3.8285	3.3594	2.9807
51.51	3.8516	3.4140	3.0353
52.33	3.8763	3.4689	3.0901
53.14	3.8975	3.5235	3.1448
53.96	3.9159	3.5782	3.1995
54.78	3.9348	3.6330	3.2543
55.60	3.9519	3.6876	3.3089
56.41	3.9690	3.7425	3.3638
57.23	3.9940	3.7971	3.4183
58.05	4.0127	3.8519	3.4732
58.87	4.0274	3.9065	3.5277
59.69	4.0380	3.9614	3.5827
60.50	4.0499	4.0161	3.6374
61.32	4.0631	4.0707	3.6920
62.14	4.0749	4.1254	3.7467
62.96	4.0881	4.1801	3.8014
63.77	4.1058	4.2348	3.8561
64.59	4.1176	4.2896	3.9109
65.41	4.1296	4.3443	3.9656
66.23	4.1442	4.3991	4.0204
67.04	4.1572	4.4538	4.0751
67.86	4.1653	4.5084	4.1297
68.68	4.1691	4.5634	4.1846
69.50	4.1766	4.6179	4.2392
70.31	4.1894	4.6726	4.2939
71.13	4.2053	4.7275	4.3488
71.95	4.2207	4.7820	4.4033
72.77	4.2443	4.8368	4.4581
73.58	4.2640	4.8915	4.5128
74.40	4.2835	4.9463	4.5676
75.22	4.3029	5.0011	4.6223
76.04	4.3235	5.0558	4.6770
76.86	4.3452	5.1104	4.7316
77.67	4.3615	5.1652	4.7865
78.49	4.3767	5.2199	4.8412
79.31	4.3921	5.2746	4.8959
80.13	4.4074	5.3292	4.9505
80.94	4.4224	5.3840	5.0053
81.76	4.4334	5.4388	5.0600
82.58	4.4416	5.4935	5.1148
83.40	4.4461	5.5481	5.1694
84.21	4.4376	5.6029	5.2242
85.03	4.4403	5.6575	5.2788
85.85	4.4518	5.7124	5.3337
86.67	4.4630	5.7670	5.3883
87.48	4.4749	5.8219	5.4432
88.30	4.4785	5.8765	5.4977
89.12	4.4793	5.9312	5.5525
89.94	4.4907	5.9860	5.6073
90.75	4.5109	6.0405	5.6618
91.57	4.5315	6.0954	5.7166
92.39	4.5515	6.1500	5.7713
93.21	4.5724	6.2050	5.8262
94.02	4.5960	6.2596	5.8808
94.84	4.6190	6.3143	5.9356
95.66	4.6406	6.3690	5.9902
96.48	4.6641	6.4238	6.0451
97.30	4.6856	6.4784	6.0997
98.11	4.7042	6.5333	6.1545
98.93	4.7219	6.5879	6.2092
99.75	4.7392	6.6426	6.2639
100.6	4.7583	6.6974	6.3187
101.4	4.7789	6.7520	6.3732
102.2	4.7983	6.8068	6.4281
103.0	4.8135	6.8616	6.4829
103.8	4.8314	6.9161	6.5374
104.7	4.8483	6.9710	6.5922
105.5	4.8649	7.0256	6.6469
106.3	4.8817	7.0804	6.7016
107.1	4.8985	7.1352	6.7564
107.9	4.9153	7.1899	6.8112
108.7	4.9332	7.2445	6.8658
109.6	4.9519	7.2992	6.9205
110.4	4.9678	7.3539	6.9752
111.2	4.9841	7.4088	7.0301
112.0	5.0009	7.4634	7.0847
112.8	5.0169	7.5182	7.1395
113.6	5.0293	7.5730	7.1943
114.5	5.0461	7.6275	7.2488
115.3	5.0626	7.6823	7.3036
116.1	5.0791	7.7370	7.3583
116.9	5.0958	7.7917	7.4129
117.7	5.1156	7.8465	7.4678
118.6	5.1405	7.9011	7.5224
119.4	5.1655	7.9559	7.5772
120.2	5.1905	8.0107	7.6319
121.0	5.2082	8.0654	7.6866
121.8	5.2317	8.1201	7.7414
122.6	5.2571	8.1748	7.7961
123.5	5.2757	8.2295	7.8507
124.3	5.2987	8.2844	7.9057
125.1	5.3232	8.3390	7.9603
125.9	5.3456	8.3936	8.0149
126.7	5.3687	8.4485	8.0697
127.5	5.3941	8.5030	8.1243
128.4	5.4142	8.5579	8.1792
129.2	5.4331	8.6126	8.2339
130.0	5.4565	8.6673	8.2886
130.8	5.4765	8.7220	8.3433
131.6	5.4937	8.7766	8.3979
132.5	5.5117	8.8314	8.4527
133.3	5.5305	8.8863	8.5075
134.1	5.5484	8.9410	8.5623
134.9	5.5662	8.9956	8.6168
135.7	5.5833	9.0503	8.6716
136.5	5.5834	9.1051	8.7264
137.4	5.5897	9.1598	8.7810
138.2	5.5960	9.2146	8.8359
139.0	5.6020	9.2692	8.8905
139.8	5.6083	9.3239	8.9452
140.6	5.6189	9.3787	9.0000
141.4	5.6345	9.4334	9.0547
142.3	5.6566	9.4881	9.1094
143.1	5.6773	9.5427	9.1640
143.9	5.6969	9.5976	9.2189
144.7	5.7194	9.6523	9.2736
145.5	5.7449	9.7069	9.3282
146.4	5.7682	9.7617	9.3830
147.2	5.7930	9.8163	9.4376
148.0	5.8247	9.8711	9.4924
148.8	5.8454	9.9259	9.5472
149.6	5.8732	9.9807	9.6020
150.4	5.8973	10.035	9.6566
151.3	5.9197	10.090	9.7114
152.1	5.9456	10.145	9.7660
152.9	5.9721	10.200	9.8209
153.7	5.9952	10.254	9.8755
154.5	6.0146	10.309	9.9301
155.3	6.0363	10.364	9.9850
156.2	6.0566	10.418	10.040
157.0	6.0759	10.473	10.094
157.8	6.0928	10.528	10.149
158.6	6.1085	10.583	10.204
159.4	6.1245	10.637	10.259
160.3	6.1428	10.692	10.313
161.1	6.1604	10.747	10.368
161.9	6.1779	10.801	10.423
162.7		10.856	10.477
