Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000			
0.6915	0.045755	0.013495	-0.15280
1.383	0.19176	0.059842	-0.10645
2.074	0.33359	0.10598	-0.060313
2.766	0.45246	0.15238	-0.013911
3.457	0.61079	0.19862	0.032329
4.149	0.78092	0.24478	0.078485
4.840	0.95727	0.29121	0.12492
5.532	1.1444	0.33742	0.17113
6.223	1.3517	0.38361	0.21732
6.915	1.5708	0.42987	0.26358
7.606	1.8004	0.47618	0.30989
8.297	2.0440	0.52256	0.35626
8.989	2.3017	0.56866	0.40236
9.680	2.5700	0.61499	0.44870
10.37	2.8458	0.66146	0.49517
11.06	3.1334	0.70755	0.54126
11.75	3.4349	0.75399	0.58770
12.45	3.7453	0.80019	0.63389
13.14	4.0556	0.84649	0.68020
13.83	4.3792	0.89276	0.72646
14.52	4.6992	0.93901	0.77272
15.21	5.0183	0.98521	0.81892
15.90	5.3400	1.0315	0.86526
16.59	5.6650	1.0779	0.91157
17.29	5.9801	1.1241	0.95782
17.98	6.2867	1.1704	1.0041
18.67	6.5930	1.2168	1.0505
19.36	6.8978	1.2630	1.0967
20.05	7.1955	1.3092	1.1429
20.74	7.4782	1.3555	1.1892
21.44	7.7605	1.4018	1.2355
22.13	8.0236	1.4480	1.2817
22.82	8.2957	1.4943	1.3280
23.51	8.5379	1.5405	1.3742
24.20	8.7983	1.5868	1.4205
24.89	9.0339	1.6332	1.4669
25.58	9.2529	1.6795	1.5132
26.28	9.4929	1.7256	1.5594
26.97	9.7454	1.7720	1.6057
27.66	9.9868	1.8183	1.6520
28.35	10.229	1.8647	1.6984
29.04	10.476	1.9107	1.7445
29.73	10.725	1.9571	1.7908
30.42	10.970	2.0034	1.8371
31.12	11.208	2.0497	1.8834
31.81	11.450	2.0961	1.9298
32.50	11.672	2.1422	1.9759
33.19	11.911	2.1885	2.0223
33.88	12.134	2.2347	2.0684
34.57	12.360	2.2812	2.1149
35.26	12.580	2.3273	2.1610
35.96	12.796	2.3736	2.2073
36.65	13.023	2.4198	2.2535
37.34	13.245	2.4662	2.2999
38.03	13.459	2.5125	2.3462
38.72	13.668	2.5588	2.3925
39.41	13.880	2.6050	2.4387
40.10	14.094	2.6512	2.4849
40.80	14.294	2.6977	2.5314
41.49	14.489	2.7439	2.5776
42.18	14.690	2.7900	2.6238
42.87	14.887	2.8365	2.6702
43.56	15.072	2.8828	2.7165
44.25	15.255	2.9290	2.7627
44.94	15.443	2.9752	2.8089
45.64	15.632	3.0215	2.8552
46.33	15.800	3.0679	2.9016
47.02	15.981	3.1141	2.9478
47.71	16.161	3.1602	2.9939
48.40	16.336	3.2066	3.0403
49.09	16.507	3.2529	3.0866
49.78	16.687	3.2992	3.1329
50.48	16.852	3.3454	3.1791
51.17	17.003	3.3916	3.2253
51.86	17.162	3.4380	3.2717
52.55	17.320	3.4842	3.3179
53.24	17.478	3.5307	3.3644
53.93	17.632	3.5769	3.4106
54.62	17.788	3.6231	3.4568
55.32	17.946	3.6693	3.5030
56.01	18.094	3.7156	3.5493
56.70	18.213	3.7619	3.5956
57.39	18.343	3.8082	3.6419
58.08	18.481	3.8545	3.6883
58.77	18.619	3.9009	3.7346
59.47	18.750	3.9470	3.7807
60.16	18.879	3.9934	3.8271
60.85	19.013	4.0396	3.8733
61.54	19.112	4.0858	3.9195
62.23	19.233	4.1322	3.9659
62.92	19.360	4.1784	4.0122
63.61	19.486	4.2247	4.0584
64.31	19.599	4.2709	4.1046
65.00	19.722	4.3173	4.1510
65.69	19.839	4.3635	4.1972
66.38	19.946	4.4099	4.2436
67.07	20.061	4.4561	4.2898
67.76	20.180	4.5024	4.3361
