Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000			
0.6120	-0.0027211	0.0073078	-1.5592
1.224	0.0087252	0.048592	-1.5179
1.836	0.019293	0.089479	-1.4770
2.448	0.028693	0.13047	-1.4360
3.060	0.038593	0.17132	-1.3952
3.672	0.048676	0.21232	-1.3542
4.284	0.058759	0.25332	-1.3132
4.896	0.068841	0.29436	-1.2721
5.508	0.078924	0.33533	-1.2312
6.120	0.091250	0.37624	-1.1902
6.732	0.10093	0.41720	-1.1493
7.344	0.11163	0.45813	-1.1084
7.956	0.12233	0.49906	-1.0674
8.568	0.13304	0.53999	-1.0265
9.180	0.14374	0.58114	-0.98535
9.792	0.15463	0.62205	-0.94444
10.40	0.16702	0.66286	-0.90363
11.02	0.17940	0.70391	-0.86258
11.63	0.19179	0.74479	-0.82169
12.24	0.20515	0.78586	-0.78063
12.85	0.21854	0.82684	-0.73965
13.46	0.23195	0.86782	-0.69866
14.08	0.24555	0.90876	-0.65773
14.69	0.25914	0.94970	-0.61679
15.30	0.27274	0.99062	-0.57587
15.91	0.28633	1.0316	-0.53488
16.52	0.29328	1.0725	-0.49397
17.14	0.30792	1.1135	-0.45294
17.75	0.32257	1.1544	-0.41205
18.36	0.34283	1.1955	-0.37103
18.97	0.35948	1.2365	-0.33003
19.58	0.37357	1.2773	-0.28920
20.20	0.39068	1.3184	-0.24813
20.81	0.40831	1.3592	-0.20724
21.42	0.42741	1.4003	-0.16623
22.03	0.44651	1.4411	-0.12537
22.64	0.46594	1.4821	-0.084401
23.26	0.47549	1.5232	-0.043316
23.87	0.49867	1.5641	-0.0023391
24.48	0.52187	1.6050	0.038506
25.09	0.54484	1.6461	0.079563
25.70	0.56599	1.6870	0.12047
26.32	0.58799	1.7279	0.16144
26.93	0.61169	1.7689	0.20239
27.54	0.63365	1.8098	0.24334
28.15	0.64660	1.8507	0.28421
28.76	0.66479	1.8917	0.32522
29.38	0.66805	1.9327	0.36617
29.99	0.68739	1.9737	0.40720
30.60	0.70674	2.0148	0.44827
31.21	0.72609	2.0556	0.48914
31.82	0.74660	2.0967	0.53024
32.44	0.77179	2.1376	0.57110
33.05	0.79183	2.1786	0.61212
33.66	0.81187	2.2194	0.65296
34.27	0.83190	2.2604	0.69392
34.88	0.85177	2.3014	0.73492
35.50	0.86807	2.3424	0.77588
36.11	0.88555	2.3833	0.81685
36.72	0.90302	2.4242	0.85768
37.33	0.92065	2.4651	0.89863
37.94	0.93948	2.5062	0.93970
38.56	0.95530	2.5471	0.98056
39.17	0.97106	2.5882	1.0217
39.78	0.98661	2.6291	1.0627
40.39	1.0021	2.6700	1.1035
41.00	1.0175	2.7109	1.1444
41.62	1.0329	2.7519	1.1854
42.23	1.0482	2.7930	1.2265
42.84	1.0574	2.8339	1.2674
43.45	1.0714	2.8747	1.3083
44.06	1.0853	2.9158	1.3493
44.68	1.0993	2.9567	1.3902
45.29	1.1117	2.9977	1.4312
45.90	1.1234	3.0386	1.4721
46.51	1.1346	3.0797	1.5132
47.12	1.1458	3.1206	1.5541
47.74	1.1569	3.1616	1.5951
48.35	1.1678	3.2025	1.6360
48.96	1.1786	3.2434	1.6769
49.57	1.1893	3.2845	1.7180
50.18	1.1992	3.3253	1.7588
50.80	1.2091	3.3662	1.7998
51.41	1.2191	3.4073	1.8408
52.02	1.2285	3.4482	1.8817
52.63	1.2377	3.4891	1.9226
53.24	1.2441	3.5300	1.9635
53.86	1.2523	3.5710	2.0045
54.47	1.2605	3.6121	2.0456
55.08	1.2687	3.6531	2.0866
55.69	1.2768	3.6939	2.1274
56.30	1.2852	3.7350	2.1685
56.92	1.2937	3.7760	2.2095
57.53	1.3022	3.8169	2.2504
58.14	1.3107	3.8579	2.2914
58.75	1.3189	3.8988	2.3323
59.36	1.3262	3.9398	2.3733
59.98	1.3335	3.9807	2.4142
60.59	1.3408	4.0217	2.4552
61.20	1.3482	4.0626	2.4961
61.81	1.3542	4.1037	2.5372
62.42	1.3593	4.1447	2.5782
63.04	1.3645	4.1856	2.6191
63.65	1.3697	4.2264	2.6599
64.26	1.3741	4.2675	2.7010
64.87	1.3779	4.3084	2.7419
65.48	1.3817	4.3492	2.7827
66.10	1.3875	4.3904	2.8239
66.71	1.3934	4.4312	2.8648
67.32	1.3992	4.4723	2.9058
67.93	1.4050	4.5133	2.9468
68.54	1.4108	4.5542	2.9877
69.16	1.4173	4.5952	3.0287
69.77	1.4237	4.6362	3.0697
70.38	1.4302	4.6770	3.1105
70.99	1.4366	4.7179	3.1514
71.60	1.4427	4.7590	3.1925
72.22	1.4488	4.7999	3.2335
72.83	1.4566	4.8408	3.2743
73.44	1.4620	4.8818	3.3153
74.05	1.4667	4.9228	3.3563
74.66	1.4714	4.9637	3.3972
75.28	1.4757	5.0047	3.4382
75.89	1.4757	5.0458	3.4793
76.50	1.4757	5.0867	3.5202
77.11	1.4757	5.1275	3.5610
77.72	1.4770	5.1686	3.6021
78.34	1.4798	5.2095	3.6430
78.95	1.4831	5.2505	3.6840
79.56	1.4879	5.2913	3.7248
80.17	1.4932	5.3323	3.7658
80.78	1.4996	5.3734	3.8069
81.40	1.5049	5.4143	3.8478
82.01	1.5102	5.4552	3.8887
82.62	1.5155	5.4962	3.9297
83.23	1.5208	5.5372	3.9707
83.84	1.5261	5.5782	4.0118
84.46	1.5314	5.6192	4.0527
85.07	1.5368	5.6601	4.0936
85.68	1.5421	5.7011	4.1347
86.29	1.5478	5.7420	4.1755
86.90	1.5510	5.7829	4.2164
87.52	1.5542	5.8240	4.2575
88.13	1.5574	5.8650	4.2985
88.74	1.5612	5.9059	4.3394
89.35	1.5651	5.9469	4.3804
89.96	1.5690	5.9878	4.4214
90.58	1.5728	6.0287	4.4622
91.19	1.5767	6.0698	4.5033
91.80	1.5792	6.1106	4.5442
92.41	1.5814	6.1516	4.5851
93.02	1.5839	6.1926	4.6261
93.64	1.5870	6.2335	4.6670
94.25	1.5907	6.2744	4.7079
94.86	1.5947	6.3154	4.7490
95.47	1.5988	6.3565	4.7900
96.08	1.6048	6.3973	4.8308
96.70	1.6074	6.4384	4.8720
97.31	1.6067	6.4793	4.9129
97.92	1.6080	6.5203	4.9538
98.53	1.6145	6.5613	4.9948
99.14	1.6178	6.6022	5.0357
99.76	1.6212	6.6430	5.0765
100.4	1.6245	6.6840	5.1175
101.0	1.6282	6.7251	5.1586
101.6	1.6329	6.7661	5.1996
102.2	1.6377	6.8070	5.2406
102.8	1.6424	6.8478	5.2813
103.4	1.6482	6.8889	5.3224
104.0	1.6542	6.9297	5.3632
104.7	1.6601	6.9709	5.4044
105.3	1.6654	7.0117	5.4452
105.9	1.6705	7.0527	5.4862
106.5	1.6757	7.0938	5.5273
107.1	1.6808	7.1348	5.5683
107.7	1.6859	7.1756	5.6091
108.3	1.6915	7.2166	5.6501
108.9	1.6972	7.2576	5.6911
109.5	1.7029	7.2985	5.7320
110.2	1.7052	7.3394	5.7729
110.8	1.7099	7.3805	5.8140
111.4	1.7154	7.4214	5.8549
112.0	1.7208	7.4623	5.8958
112.6	1.7261	7.5032	5.9367
113.2	1.7277	7.5444	5.9779
113.8	1.7328	7.5853	6.0188
114.4	1.7379	7.6262	6.0597
115.1	1.7430	7.6672	6.1007
115.7	1.7480	7.7081	6.1416
116.3	1.7528	7.7490	6.1825
116.9	1.7576	7.7901	6.2236
117.5	1.7624	7.8310	6.2645
118.1	1.7671	7.8720	6.3055
118.7	1.7709	7.9129	6.3464
119.3	1.7747	7.9538	6.3873
120.0	1.7791	7.9949	6.4284
120.6	1.7834	8.0357	6.4692
121.2	1.7877	8.0767	6.5102
121.8	0.068665		
