Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000			
0.7795	0.14872	0.019330	-0.20938
1.559	0.24758	0.071433	-0.15727
2.339	0.33818	0.12363	-0.10507
3.118	0.40993	0.17569	-0.053019
3.898	0.49865	0.22791	-0.00079228
4.677	0.58738	0.28024	0.051530
5.457	0.67931	0.33232	0.10361
6.236	0.76764	0.38456	0.15586
7.016	0.85597	0.43656	0.20785
7.795	0.94293	0.48878	0.26008
8.575	1.0325	0.54091	0.31221
9.354	1.1275	0.59316	0.36445
10.13	1.2203	0.64530	0.41659
10.91	1.3172	0.69746	0.46876
11.69	1.4161	0.74958	0.52088
12.47	1.5138	0.80190	0.57319
13.25	1.6149	0.85394	0.62523
14.03	1.7190	0.90622	0.67751
14.81	1.8271	0.95827	0.72956
15.59	1.9354	1.0106	0.78190
16.37	2.0504	1.0628	0.83409
17.15	2.1671	1.1150	0.88625
17.93	2.2855	1.1670	0.93834
18.71	2.4085	1.2193	0.99055
19.49	2.5341	1.2712	1.0425
20.27	2.6649	1.3235	1.0948
21.05	2.7975	1.3757	1.1470
21.83	2.9361	1.4280	1.1992
22.61	3.0803	1.4801	1.2514
23.39	3.2299	1.5322	1.3035
24.16	3.3846	1.5846	1.3558
24.94	3.5421	1.6366	1.4079
25.72	3.6995	1.6887	1.4599
26.50	3.8652	1.7409	1.5122
27.28	4.0397	1.7931	1.5643
28.06	4.2075	1.8453	1.6166
28.84	4.3889	1.8974	1.6686
29.62	4.5771	1.9496	1.7209
30.40	4.7673	2.0018	1.7731
31.18	4.9609	2.0540	1.8253
31.96	5.1696	2.1061	1.8774
32.74	5.3760	2.1583	1.9296
33.52	5.5837	2.2104	1.9817
34.30	5.7988	2.2626	2.0339
35.08	6.0216	2.3149	2.0861
35.86	6.2389	2.3669	2.1382
36.64	6.4637	2.4192	2.1905
37.42	6.6960	2.4713	2.2426
38.20	6.9298	2.5235	2.2948
38.98	7.1719	2.5756	2.3469
39.75	7.4234	2.6279	2.3992
40.53	7.6737	2.6800	2.4513
41.31	7.9299	2.7322	2.5035
42.09	8.1958	2.7844	2.5557
42.87	8.4622	2.8364	2.6077
43.65	8.7302	2.8887	2.6600
44.43	8.6873	2.9409	2.7122
45.21	8.7691	2.9929	2.7642
45.99	8.9533	3.0453	2.8166
46.77	9.2063	3.0973	2.8686
47.55	9.4866	3.1496	2.9209
48.33	9.7594	3.2016	2.9729
49.11	10.047	3.2538	3.0251
49.89	10.339	3.3059	3.0772
50.67	10.615	3.3583	3.1296
51.45	10.915	3.4103	3.1816
52.23	11.215	3.4624	3.2337
53.01	11.530	3.5146	3.2859
53.79	11.802	3.5668	3.3381
54.57	12.098	3.6190	3.3903
55.34	12.411	3.6712	3.4425
56.12	12.720	3.7235	3.4948
56.90	13.025	3.7755	3.5468
57.68	13.318	3.8278	3.5991
58.46	13.615	3.8799	3.6512
59.24	13.903	3.9320	3.7033
60.02	14.201	3.9843	3.7555
60.80	14.494	4.0365	3.8078
61.58	14.761	4.0885	3.8598
62.36	15.047	4.1409	3.9122
63.14	15.343	4.1929	3.9642
63.92	15.648	4.2451	4.0163
64.70	15.931	4.2973	4.0685
65.48	16.228	4.3494	4.1206
66.26	16.517	4.4016	4.1729
67.04	16.795	4.4537	4.2250
67.82	17.079	4.5060	4.2773
68.60	17.338	4.5582	4.3295
69.38	17.583	4.6102	4.3815
70.16	17.808	4.6624	4.4337
70.93	18.055	4.7146	4.4859
71.71	18.304	4.7669	4.5382
72.49	18.536	4.8190	4.5903
73.27	18.713	4.8711	4.6424
74.05	18.946	4.9234	4.6947
74.83	19.171	4.9754	4.7467
75.61	19.409	5.0276	4.7989
76.39	19.648	5.0798	4.8511
77.17	19.861	5.1319	4.9032
77.95	20.047	5.1842	4.9555
78.73	20.271	5.2363	5.0076
79.51	20.482	5.2886	5.0599
80.29	20.683	5.3406	5.1119
81.07	20.870	5.3930	5.1643
81.85	21.026	5.4451	5.2164
82.63	21.215	5.4971	5.2684
83.41	21.409	5.5492	5.3205
84.19	21.597	5.6015	5.3728
84.97	21.784	5.6537	5.4250
85.75	21.978	5.7059	5.4771
86.52	22.164	5.7581	5.5293
87.30	22.330	5.8102	5.5815
88.08	22.512	5.8624	5.6337
88.86	22.692	5.9145	5.6858
89.64	22.869	5.9668	5.7380
90.42	23.029	6.0189	5.7902
91.20	23.206	6.0711	5.8424
91.98	23.379	6.1232	5.8945
92.76	23.547	6.1753	5.9466
93.54	23.716	6.2277	5.9990
94.32	23.886	6.2797	6.0510
95.10	24.039	6.3320	6.1032
95.88	24.197	6.3841	6.1553
96.66	24.360	6.4362	6.2075
97.44	24.508	6.4885	6.2598
98.22	24.659	6.5406	6.3119
99.00	24.816	6.5927	6.3640
99.78	24.971	6.6450	6.4163
100.6	25.104	6.6971	6.4684
101.3	25.258	6.7493	6.5206
102.1	25.403	6.8014	6.5727
102.9	25.543	6.8537	6.6250
103.7	25.672	6.9058	6.6771
104.5	25.814	6.9580	6.7293
105.2	25.951	7.0102	6.7815
106.0	26.089	7.0624	6.8337
106.8	26.223	7.1143	6.8856
107.6	26.349	7.1666	6.9379
108.4	26.481	7.2188	6.9901
109.1	26.627	7.2711	7.0424
109.9	26.757	7.3232	7.0945
110.7	26.872	7.3754	7.1467
111.5	27.021	7.4275	7.1988
112.2	27.158	7.4798	7.2511
113.0	27.283	7.5319	7.3031
113.8	27.420	7.5839	7.3552
114.6	27.555	7.6363	7.4076
115.4	27.688	7.6884	7.4597
116.1	27.815	7.7405	7.5118
116.9	27.955	7.7927	7.5640
117.7	28.082	7.8448	7.6161
118.5	28.195	7.8971	7.6684
119.3	28.325	7.9493	7.7205
120.0	28.450	8.0014	7.7727
120.8	28.558	8.0536	7.8249
121.6	28.687	8.1056	7.8769
122.4	28.808	8.1580	7.9293
123.2	28.910	8.2101	7.9813
123.9	29.030	8.2623	8.0336
124.7	29.165	8.3144	8.0857
125.5	29.277	8.3665	8.1378
126.3	29.395	8.4188	8.1901
127.1	29.513	8.4709	8.2422
127.8	29.625	8.5232	8.2945
128.6	29.745	8.5753	8.3466
129.4	29.861	8.6274	8.3987
130.2	29.976	8.6796	8.4508
131.0	30.100	8.7318	8.5031
131.7	30.204	8.7839	8.5552
132.5	30.322	8.8361	8.6073
133.3	30.433	8.8884	8.6597
134.1	30.543	8.9405	8.7118
134.9	30.671	8.9926	8.7639
135.6	30.780	9.0447	8.8160
136.4	30.886	9.0970	8.8683
137.2	31.006	9.1491	8.9204
138.0	31.129	9.2013	8.9726
138.8	31.233	9.2536	9.0249
139.5	31.356	9.3056	9.0769
140.3	31.469	9.3579	9.1292
141.1	31.572	9.4100	9.1813
141.9	31.681	9.4621	9.2334
142.6	31.803	9.5144	9.2857
143.4	31.908	9.5665	9.3378
144.2	32.009	9.6187	9.3900
145.0	32.121	9.6709	9.4422
145.8	32.233	9.7230	9.4943
146.5	32.328	9.7753	9.5466
147.3	32.444	9.8273	9.5986
148.1	32.546	9.8796	9.6509
148.9	32.647	9.9316	9.7029
149.7	32.748	9.9839	9.7551
150.4	32.847	10.036	9.8073
151.2	32.945	10.088	9.8596
152.0	33.037	10.140	9.9116
152.8	33.139	10.193	9.9638
153.6	33.241	10.245	10.016
154.3	33.312	10.297	10.068
155.1		10.349	10.120
