Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000			
0.8069	0.0020720	0.019846	-0.80659
1.614	0.0098642	0.073920	-0.75252
2.421	0.019540	0.12785	-0.69858
3.227	0.028917	0.18181	-0.64462
4.034	0.043581	0.23580	-0.59064
4.841	0.058245	0.28986	-0.53658
5.648	0.081566	0.34386	-0.48257
6.455	0.10684	0.39784	-0.42859
7.262	0.13614	0.45184	-0.37460
8.069	0.17237	0.50583	-0.32061
8.876	0.21551	0.55984	-0.26659
9.682	0.26336	0.61376	-0.21267
10.49	0.31519	0.66781	-0.15862
11.30	0.37482	0.72188	-0.10456
12.10	0.43917	0.77577	-0.050661
12.91	0.50449	0.82994	0.0034994
13.72	0.57353	0.88389	0.057455
14.52	0.64875	0.93779	0.11135
15.33	0.71886	0.99189	0.16546
16.14	0.79146	1.0459	0.21949
16.94	0.86723	1.1000	0.27354
17.75	0.94082	1.1538	0.32740
18.56	1.0135	1.2080	0.38159
19.36	1.0802	1.2620	0.43554
20.17	1.1524	1.3159	0.48945
20.98	1.2187	1.3699	0.54346
21.79	1.2832	1.4239	0.59747
22.59	1.3454	1.4779	0.65146
23.40	1.4026	1.5318	0.70541
24.21	1.4596	1.5860	0.75959
25.01	1.5111	1.6399	0.81342
25.82	1.5639	1.6939	0.86748
26.63	1.6155	1.7480	0.92159
27.43	1.6672	1.8019	0.97550
28.24	1.7101	1.8560	1.0296
29.05	1.7526	1.9099	1.0834
29.85	1.7948	1.9639	1.1375
30.66	1.8350	2.0179	1.1915
31.47	1.8739	2.0719	1.2455
32.27	1.9098	2.1260	1.2995
33.08	1.9391	2.1799	1.3535
33.89	1.9429	2.2339	1.4074
34.70	1.9546	2.2878	1.4614
35.50	1.9777	2.3420	1.5156
36.31	2.0061	2.3959	1.5694
37.12	2.0372	2.4500	1.6236
37.92	2.0639	2.5040	1.6775
38.73	2.0861	2.5579	1.7315
39.54	2.1074	2.6121	1.7857
40.34	2.1276	2.6659	1.8395
41.15	2.1472	2.7200	1.8936
41.96	2.1575	2.7739	1.9475
42.76	2.1741	2.8279	2.0015
43.57	2.1862	2.8820	2.0555
44.38	2.1983	2.9361	2.1097
45.18	2.2078	2.9901	2.1637
45.99	2.2156	3.0440	2.2176
46.80	2.2231	3.0979	2.2715
47.61	2.2403	3.1521	2.3257
48.41	2.2534	3.2061	2.3796
49.22	2.2650	3.2600	2.4336
50.03	2.2743	3.3140	2.4875
50.83	2.2778	3.3681	2.5416
51.64	2.2832	3.4219	2.5955
52.45	2.2903	3.4761	2.6497
53.25	2.2974	3.5300	2.7035
54.06	2.3040	3.5841	2.7576
54.87	2.3153	3.6380	2.8115
55.67	2.3268	3.6921	2.8656
56.48	2.3425	3.7460	2.9196
57.29	2.3553	3.8001	2.9736
58.09	2.3682	3.8540	3.0275
58.90	2.3811	3.9079	3.0815
59.71	2.3956	3.9621	3.1357
60.51	2.4142	4.0159	3.1895
61.32	2.4282	4.0700	3.2436
62.13	2.4422	4.1241	3.2977
62.94	2.4532	4.1780	3.3516
63.74	2.4668	4.2321	3.4057
64.55	2.4802	4.2860	3.4595
65.36	2.4935	4.3400	3.5135
66.16	2.5091	4.3942	3.5677
66.97	2.5193	4.4480	3.6216
67.78	2.5275	4.5021	3.6756
68.58	2.5415	4.5560	3.7295
69.39	2.5497	4.6101	3.7837
70.20	2.5565	4.6640	3.8376
71.00	2.5652	4.7181	3.8916
71.81	2.5741	4.7720	3.9456
72.62	2.5839	4.8261	3.9996
73.42	2.5932	4.8799	4.0535
74.23	2.5963	4.9340	4.1076
75.04	2.5878	4.9881	4.1617
75.85	2.5714	5.0421	4.2157
76.65	2.5682	5.0961	4.2697
77.46	2.5738	5.1501	4.3236
78.27	2.5846	5.2041	4.3776
79.07	2.5944	5.2581	4.4316
79.88	2.6020	5.3121	4.4857
80.69	2.6076	5.3660	4.5396
81.49	2.6189	5.4200	4.5935
82.30	2.6349	5.4740	4.6476
83.11	2.6463	5.5281	4.7016
83.91	2.6633	5.5820	4.7556
84.72	2.6802	5.6360	4.8096
85.53	2.6950	5.6901	4.8637
86.33	2.7109	5.7441	4.9177
87.14	2.7268	5.7981	4.9717
87.95	2.7428	5.8520	5.0256
88.76	2.7581	5.9062	5.0797
89.56	2.7729	5.9601	5.1337
90.37	2.7883	6.0140	5.1876
91.18	2.8015	6.0681	5.2417
91.98	2.8152	6.1220	5.2956
92.79	2.8289	6.1761	5.3496
93.60	2.8363	6.2301	5.4037
94.40	2.8447	6.2842	5.4578
95.21	2.8554	6.3381	5.5117
96.02	2.8673	6.3921	5.5656
96.82	2.8791	6.4462	5.6197
97.63	2.8915	6.5000	5.6736
98.44	2.9043	6.5541	5.7277
99.24	2.9151	6.6080	5.7816
100.1	2.9258	6.6622	5.8357
100.9	2.9401	6.7162	5.8897
101.7	2.9542	6.7701	5.9437
102.5	2.9671	6.8241	5.9977
103.3	2.9789	6.8782	6.0518
104.1	2.9942	6.9321	6.1057
104.9	3.0058	6.9862	6.1598
105.7	3.0204	7.0401	6.2137
106.5	3.0356	7.0942	6.2677
107.3	3.0497	7.1481	6.3217
108.1	3.0637	7.2020	6.3756
108.9	3.0774	7.2561	6.4297
109.7	3.0911	7.3101	6.4837
110.5	3.1048	7.3641	6.5377
111.3	3.1203	7.4182	6.5918
112.2	3.1371	7.4722	6.6458
113.0	3.1506	7.5261	6.6996
113.8	3.1645	7.5802	6.7538
114.6	3.1810	7.6341	6.8077
115.4	3.1962	7.6881	6.8617
116.2	3.2124	7.7422	6.9158
117.0	3.2276	7.7961	6.9697
117.8	3.2470	7.8501	7.0237
118.6	3.2625	7.9041	7.0777
119.4	3.2780	7.9582	7.1317
120.2	3.2926	8.0123	7.1858
121.0	3.3062	8.0662	7.2398
121.8	3.3216	8.1202	7.2937
122.6	3.3404	8.1741	7.3477
123.5	3.3568	8.2283	7.4018
124.3	3.3729	8.2821	7.4557
125.1	3.3925	8.3361	7.5097
125.9	3.4056	8.3901	7.5637
126.7	3.4183	8.4441	7.6177
127.5	3.4163	8.4981	7.6716
128.3	3.4170	8.5522	7.7258
129.1	3.4300	8.6062	7.7798
129.9	3.4434	8.6603	7.8338
130.7	3.4554	8.7141	7.8877
131.5	3.4653	8.7682	7.9418
132.3	3.4698	8.8222	7.9957
133.1	3.4791	8.8763	8.0498
133.9	3.4884	8.9303	8.1038
134.7	3.4898	8.9843	8.1579
135.6	3.4928	9.0382	8.2117
136.4	3.5049	9.0922	8.2658
137.2	3.5209	9.1462	8.3197
138.0	3.5361	9.2001	8.3737
138.8	3.5512	9.2542	8.4278
139.6	3.5671	9.3082	8.4818
140.4	3.5829	9.3622	8.5358
141.2	3.5969	9.4162	8.5897
142.0	3.6101	9.4702	8.6438
142.8	3.6283	9.5241	8.6977
143.6	3.6416	9.5783	8.7518
144.4	3.6550	9.6323	8.8058
145.2	3.6684	9.6863	8.8599
146.0	3.6800	9.7403	8.9139
146.8	3.6948	9.7943	8.9679
147.7	3.7111	9.8482	9.0218
148.5	3.7270	9.9024	9.0759
149.3	3.7408	9.9563	9.1299
150.1	3.7547	10.010	9.1837
150.9	3.7707	10.064	9.2377
151.7	3.7866	10.118	9.2919
152.5	3.8068	10.172	9.3458
153.3	3.8252	10.226	9.3998
154.1	3.8438	10.280	9.4537
154.9	3.8573	10.334	9.5079
155.7	3.8653	10.388	9.5619
156.5	3.8795	10.442	9.6158
157.3	3.8979	10.496	9.6697
158.1	3.9150	10.550	9.7237
159.0	3.9322	10.604	9.7778
159.8	3.9493	10.658	9.8319
160.6		10.712	9.8858
